team,appearances,minutesPlayed,tackles,interceptions,clearances,aerialDuelsWon,groundDuelsWon,blockedShots,errorLeadToGoal,rating
Milan,4,325,3,0,2,6,25,2,0,7.15
Paris Saint-Germain,9,342,7,2,1,1,22,3,0,7.14
Manchester City,8,535,11,2,4,1,20,9,0,7.14
Atlético Madrid,8,616,10,4,6,0,30,0,0,7.14
Real Madrid,11,790,25,9,19,12,56,3,0,7.14
FC Barcelona,6,327,10,2,5,1,17,2,0,7.13
Atlético Madrid,9,771,15,3,12,1,25,0,0,7.13
FC Bayern München,9,439,5,1,4,0,9,0,0,7.13
Benfica,5,324,2,2,3,2,12,3,0,7.12
Galatasaray,5,200,0,2,2,1,2,0,0,7.12
FC København,6,540,17,8,12,17,23,0,0,7.12
BSC Young Boys,6,518,14,5,3,2,22,4,0,7.12
FC Bayern München,12,929,13,2,0,0,55,2,0,7.11
Inter,7,449,10,3,8,4,25,4,0,7.1
Real Madrid,13,1067,21,13,16,12,34,10,0,7.1
Newcastle United,4,335,5,4,6,4,15,1,0,7.1
Newcastle United,6,540,13,6,8,2,34,0,0,7.08
SSC Napoli,6,469,2,4,2,1,14,3,0,7.07
FC Bayern München,3,206,1,3,5,4,5,0,0,7.07
Sporting Braga,5,290,8,7,1,1,15,2,0,7.06
Borussia Dortmund,12,929,12,7,21,2,25,1,0,7.06
FC København,7,536,9,6,6,1,19,3,0,7.06
Real Sociedad,7,399,12,1,2,3,32,4,0,7.06
RB Leipzig,8,626,21,5,6,4,31,1,0,7.05
FC København,2,113,6,0,2,0,7,2,0,7.05
Manchester City,2,106,1,1,0,1,2,1,0,7.05
Sevilla,4,330,13,4,8,2,18,0,0,7.05
FC København,7,630,19,9,9,1,30,1,0,7.03
Paris Saint-Germain,11,905,15,7,9,5,34,1,0,7.03
Real Sociedad,8,713,18,7,12,14,29,1,0,7.03
Shakhtar Donetsk,6,540,4,6,4,1,21,1,0,7.0
FC Barcelona,3,229,3,1,5,1,9,1,0,7.0
Manchester City,4,221,2,0,0,0,10,2,0,7.0
Feyenoord,5,355,10,5,3,3,19,2,0,7.0
PSV Eindhoven,8,503,13,8,5,1,34,1,0,7.0
BSC Young Boys,4,265,8,3,3,3,18,1,0,7.0
RB Leipzig,2,92,6,0,1,0,8,0,0,7.0
Feyenoord,6,467,6,3,1,1,25,2,0,6.98
Feyenoord,4,198,9,1,0,1,21,4,0,6.98
Real Madrid,8,605,9,9,12,14,11,1,0,6.98
RC Lens,6,289,6,1,1,1,13,2,0,6.97
Red Bull Salzburg,6,390,6,5,7,1,22,6,0,6.97
Galatasaray,6,499,11,8,10,5,24,0,0,6.97
Milan,3,122,3,3,4,1,8,1,0,6.97
Real Madrid,11,418,6,5,5,5,11,4,0,6.96
Sevilla,5,346,5,4,2,5,27,2,0,6.96
RC Lens,2,36,1,0,1,0,3,0,0,6.95
Manchester City,6,434,7,5,3,1,22,5,0,6.95
FK Crvena zvezda,3,148,4,0,0,2,12,0,0,6.95
Arsenal,9,531,16,9,4,6,26,0,0,6.94
Atlético Madrid,7,258,5,7,4,3,11,2,0,6.94
Inter,7,372,0,3,3,1,6,1,0,6.94
Shakhtar Donetsk,6,497,14,6,19,6,18,2,0,6.93
Milan,6,479,11,5,3,0,23,2,0,6.93
Borussia Dortmund,7,563,9,2,2,0,37,1,0,6.93
Borussia Dortmund,13,496,12,3,8,2,20,2,0,6.93
