team,appearances,minutesPlayed,saves,goalsConceded,rating
Shakhtar Donetsk,2,12,0,0,6.4
Newcastle United,2,100,0,2,6.4
1. FC Union Berlin,1,13,0,1,6.3
Celtic,2,39,0,3,6.3
FC København,1,69,0,3,6.3
FC København,5,108,0,1,6.25
Manchester City,1,14,0,2,6.2
Inter,4,89,0,3,6.2
SSC Napoli,1,11,0,1,6.2
Benfica,3,111,0,6,6.1
Royal Antwerp FC,4,277,0,11,6.1
FC Porto,1,64,0,1,6.0
PSV Eindhoven,2,25,0,1,5.5
Celtic,2,55,0,4,5.5
Manchester City,1,2,0,0,0.0
Sporting Braga,1,2,0,0,0.0
Manchester City,7,278,0,2,8.07
Atlético Madrid,10,822,0,12,7.84
Arsenal,9,725,0,6,7.71
Paris Saint-Germain,12,1080,0,15,7.69
Real Madrid,10,901,0,11,7.66
FC Bayern München,12,1065,0,9,7.62
FC Porto,7,546,0,8,7.53
FC Porto,7,491,0,5,7.41
PSV Eindhoven,2,166,0,6,7.4
PSV Eindhoven,8,653,0,11,7.36
Paris Saint-Germain,11,954,0,13,7.35
Sporting Braga,5,371,0,9,7.34
Arsenal,8,413,0,3,7.3
Galatasaray,2,37,0,2,7.3
Borussia Dortmund,12,789,0,6,7.25
Sporting Braga,6,503,0,12,7.25
Milan,5,443,0,5,7.24
FC Barcelona,9,736,0,12,7.23
Real Madrid,11,293,0,2,7.23
SSC Napoli,8,672,0,12,7.23
Manchester City,9,778,0,11,7.21
FC Barcelona,8,375,0,6,7.19
Shakhtar Donetsk,6,479,0,12,7.18
Manchester United,6,489,0,11,7.15
PSV Eindhoven,7,627,0,12,7.14
Arsenal,6,484,0,5,7.13
Sporting Braga,6,397,0,11,7.13
Real Madrid,13,1022,0,14,7.13
Milan,2,30,0,0,7.1
Arsenal,9,533,0,3,7.07
Galatasaray,6,519,0,11,7.07
Lazio,6,464,0,9,7.07
RB Leipzig,8,558,0,7,7.06
FC Porto,7,644,0,7,7.06
Feyenoord,4,70,0,1,7.05
Newcastle United,3,87,0,0,7.05
Red Bull Salzburg,6,340,0,4,7.04
Lazio,5,243,0,1,7.04
Borussia Dortmund,8,459,0,5,7.04
Atlético Madrid,3,102,0,1,7.03
Royal Antwerp FC,4,153,0,3,7.03
Sporting Braga,6,341,0,8,7.02
FC Bayern München,8,145,0,3,7.01
Borussia Dortmund,13,1041,0,9,7.01
1. FC Union Berlin,4,198,0,3,7.0
Real Sociedad,6,426,0,8,6.98
Lazio,8,507,0,8,6.98
FC Barcelona,9,373,0,3,6.97
Galatasaray,6,441,0,9,6.97
RC Lens,6,468,0,10,6.97
PSV Eindhoven,5,158,0,2,6.95
BSC Young Boys,2,127,0,2,6.95
Benfica,4,125,0,4,6.95
1. FC Union Berlin,5,301,0,6,6.94
Milan,4,171,0,3,6.93
Sevilla,6,514,0,10,6.92
Real Sociedad,7,588,0,3,6.91
Atlético Madrid,10,667,0,9,6.91
Inter,8,334,0,4,6.9
FC Barcelona,2,33,0,1,6.9
Shakhtar Donetsk,3,19,0,0,6.9
Real Sociedad,2,92,0,2,6.9
Feyenoord,1,11,0,1,6.9
Inter,8,457,0,2,6.89
Sporting Braga,5,409,0,9,6.88
Feyenoord,4,349,0,6,6.88
FC Porto,8,252,0,2,6.87
SSC Napoli,6,460,0,10,6.87
Lazio,8,195,0,3,6.86
Borussia Dortmund,12,709,0,7,6.86
Inter,8,531,0,4,6.85
BSC Young Boys,4,283,0,7,6.85
Milan,6,440,0,8,6.85
BSC Young Boys,4,163,0,4,6.85
Newcastle United,6,439,0,5,6.85
PSV Eindhoven,8,132,0,3,6.84
Atlético Madrid,10,322,0,5,6.83
SSC Napoli,6,93,0,2,6.83
FC København,4,144,0,3,6.83
FK Crvena zvezda,6,360,0,10,6.82
PSV Eindhoven,7,378,0,6,6.81
Royal Antwerp FC,6,411,0,13,6.8
Manchester United,4,290,0,5,6.8
Red Bull Salzburg,2,66,0,1,6.8
Paris Saint-Germain,10,484,0,6,6.79
SSC Napoli,8,256,0,5,6.79
RC Lens,6,460,0,10,6.78
Benfica,6,231,0,3,6.78
Borussia Dortmund,4,60,0,1,6.78
Arsenal,10,832,0,7,6.77
Milan,3,47,0,0,6.77
