season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2023-2024,Arsenal 2023 2024,2023-11-29,Champions Lg,Frlens,2023-11-29_champions_lg_frlens_goalkeeper_stats.csv,e7033b85,https://fbref.com/en/matches/e7033b85/Arsenal-Lens-November-29-2023-Champions-League,2023-11-29,Champions Lg,Group stage,Home,frLens,W,2023-11-29_champions_lg_frlens,Arsenal,David Raya,es ESP,28-075,90,3,0,3,100.0
2023-2024,Arsenal 2023 2024,2023-12-02,Premier League,Wolves,2023-12-02_premier_league_wolves_goalkeeper_stats.csv,6e65df8e,https://fbref.com/en/matches/6e65df8e/Arsenal-Wolverhampton-Wanderers-December-2-2023-Premier-League,2023-12-02,Premier League,Matchweek 14,Home,Wolves,W,2023-12-02_premier_league_wolves,Arsenal,David Raya,es ESP,28-078,90,3,1,2,66.7
2023-2024,Arsenal 2023 2024,2023-12-05,Premier League,Luton Town,2023-12-05_premier_league_luton_town_goalkeeper_stats.csv,dd3a5afc,https://fbref.com/en/matches/dd3a5afc/Luton-Town-Arsenal-December-5-2023-Premier-League,2023-12-05,Premier League,Matchweek 15,Away,Luton Town,W,2023-12-05_premier_league_luton_town,Arsenal,David Raya,es ESP,28-081,90,4,3,1,25.0
2023-2024,Arsenal 2023 2024,2023-12-09,Premier League,Aston Villa,2023-12-09_premier_league_aston_villa_goalkeeper_stats.csv,8cf29e50,https://fbref.com/en/matches/8cf29e50/Aston-Villa-Arsenal-December-9-2023-Premier-League,2023-12-09,Premier League,Matchweek 16,Away,Aston Villa,L,2023-12-09_premier_league_aston_villa,Arsenal,David Raya,es ESP,28-085,90,3,1,2,66.7
2023-2024,Arsenal 2023 2024,2023-12-12,Champions Lg,Nlpsv,2023-12-12_champions_lg_nlpsv_goalkeeper_stats.csv,a44f0e00,https://fbref.com/en/matches/a44f0e00/PSV-Eindhoven-Arsenal-December-12-2023-Champions-League,2023-12-12,Champions Lg,Group stage,Away,nlPSV,D,2023-12-12_champions_lg_nlpsv,Arsenal,Aaron Ramsdale,eng ENG,25-212,90,5,1,4,80.0
2023-2024,Arsenal 2023 2024,2023-12-17,Premier League,Brighton,2023-12-17_premier_league_brighton_goalkeeper_stats.csv,e3a46a4e,https://fbref.com/en/matches/e3a46a4e/Arsenal-Brighton-and-Hove-Albion-December-17-2023-Premier-League,2023-12-17,Premier League,Matchweek 17,Home,Brighton,W,2023-12-17_premier_league_brighton,Arsenal,David Raya,es ESP,28-093,90,1,0,1,100.0
2023-2024,Arsenal 2023 2024,2023-12-23,Premier League,Liverpool,2023-12-23_premier_league_liverpool_goalkeeper_stats.csv,bfbfbbe8,https://fbref.com/en/matches/bfbfbbe8/Liverpool-Arsenal-December-23-2023-Premier-League,2023-12-23,Premier League,Matchweek 18,Away,Liverpool,D,2023-12-23_premier_league_liverpool,Arsenal,David Raya,es ESP,28-099,90,3,1,2,66.7
2023-2024,Arsenal 2023 2024,2023-12-28,Premier League,West Ham United,2023-12-28_premier_league_west_ham_united_goalkeeper_stats.csv,ba570015,https://fbref.com/en/matches/ba570015/Arsenal-West-Ham-United-December-28-2023-Premier-League,2023-12-28,Premier League,Matchweek 19,Home,West Ham United,L,2023-12-28_premier_league_west_ham_united,Arsenal,David Raya,es ESP,28-104,90,1,2,0,-100.0
2023-2024,Arsenal 2023 2024,2023-12-31,Premier League,Fulham,2023-12-31_premier_league_fulham_goalkeeper_stats.csv,6c1b6ffc,https://fbref.com/en/matches/6c1b6ffc/Fulham-Arsenal-December-31-2023-Premier-League,2023-12-31,Premier League,Matchweek 20,Away,Fulham,L,2023-12-31_premier_league_fulham,Arsenal,David Raya,es ESP,28-107,90,4,2,2,50.0
2023-2024,Arsenal 2023 2024,2024-01-07,Fa Cup,Liverpool,2024-01-07_fa_cup_liverpool_goalkeeper_stats.csv,416b23b9,https://fbref.com/en/matches/416b23b9/Arsenal-Liverpool-January-7-2024-FA-Cup,2024-01-07,FA Cup,Third round proper,Home,Liverpool,L,2024-01-07_fa_cup_liverpool,Arsenal,Aaron Ramsdale,eng ENG,25-238,90,4,2,2,50.0
2023-2024,Arsenal 2023 2024,2024-01-20,Premier League,Crystal Palace,2024-01-20_premier_league_crystal_palace_goalkeeper_stats.csv,006fb5b5,https://fbref.com/en/matches/006fb5b5/Arsenal-Crystal-Palace-January-20-2024-Premier-League,2024-01-20,Premier League,Matchweek 21,Home,Crystal Palace,W,2024-01-20_premier_league_crystal_palace,Arsenal,David Raya,es ESP,28-127,90,5,0,5,100.0
2023-2024,Arsenal 2023 2024,2024-01-30,Premier League,Nottingham Forest,2024-01-30_premier_league_nottingham_forest_goalkeeper_stats.csv,20a16b44,https://fbref.com/en/matches/20a16b44/Nottingham-Forest-Arsenal-January-30-2024-Premier-League,2024-01-30,Premier League,Matchweek 22,Away,Nottingham Forest,W,2024-01-30_premier_league_nottingham_forest,Arsenal,David Raya,es ESP,28-137,90,3,1,2,66.7
2023-2024,Arsenal 2023 2024,2024-02-04,Premier League,Liverpool,2024-02-04_premier_league_liverpool_goalkeeper_stats.csv,99020abf,https://fbref.com/en/matches/99020abf/Arsenal-Liverpool-February-4-2024-Premier-League,2024-02-04,Premier League,Matchweek 23,Home,Liverpool,W,2024-02-04_premier_league_liverpool,Arsenal,David Raya,es ESP,28-142,90,2,1,1,50.0
2023-2024,Arsenal 2023 2024,2024-02-11,Premier League,West Ham United,2024-02-11_premier_league_west_ham_united_goalkeeper_stats.csv,a1da23dc,https://fbref.com/en/matches/a1da23dc/West-Ham-United-Arsenal-February-11-2024-Premier-League,2024-02-11,Premier League,Matchweek 24,Away,West Ham United,W,2024-02-11_premier_league_west_ham_united,Arsenal,David Raya,es ESP,28-149,90,1,0,1,100.0
2023-2024,Arsenal 2023 2024,2024-02-17,Premier League,Burnley,2024-02-17_premier_league_burnley_goalkeeper_stats.csv,59631171,https://fbref.com/en/matches/59631171/Burnley-Arsenal-February-17-2024-Premier-League,2024-02-17,Premier League,Matchweek 25,Away,Burnley,W,2024-02-17_premier_league_burnley,Arsenal,David Raya,es ESP,28-155,90,0,0,0,
2023-2024,Arsenal 2023 2024,2024-02-21,Champions Lg,Ptporto,2024-02-21_champions_lg_ptporto_goalkeeper_stats.csv,2ad57214,https://fbref.com/en/matches/2ad57214/Porto-Arsenal-February-21-2024-Champions-League,2024-02-21,Champions Lg,Round of 16,Away,ptPorto,L,2024-02-21_champions_lg_ptporto,Arsenal,David Raya,es ESP,28-159,90,2,1,1,50.0
