league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
ENG-Premier League,2021,2020-11-23 Burnley-Crystal Palace,1,2020,14516,2020-11-23 17:30:00,92,78,Burnley,Crystal Palace,CRY,BUR,1,0,1.75343,1.28331,True,True,https://understat.com/match/14516
ENG-Premier League,2021,2020-11-23 Wolverhampton Wanderers-Southampton,1,2020,14524,2020-11-23 20:00:00,229,74,Wolverhampton Wanderers,Southampton,SOU,WOL,1,1,1.57479,1.0785,True,True,https://understat.com/match/14524
ENG-Premier League,2021,2020-11-27 Crystal Palace-Newcastle United,1,2020,14530,2020-11-27 20:00:00,78,86,Crystal Palace,Newcastle United,NEW,CRY,0,2,0.534893,1.27929,True,True,https://understat.com/match/14530
ENG-Premier League,2021,2020-11-28 Brighton-Liverpool,1,2020,14528,2020-11-28 12:30:00,220,87,Brighton,Liverpool,LIV,BRI,1,1,2.30722,0.28109,True,True,https://understat.com/match/14528
ENG-Premier League,2021,2020-11-28 Everton-Leeds,1,2020,14531,2020-11-28 17:30:00,72,245,Everton,Leeds,LED,EVE,0,1,1.29229,3.11324,True,True,https://understat.com/match/14531
ENG-Premier League,2021,2020-11-28 Manchester City-Burnley,1,2020,14533,2020-11-28 15:00:00,88,92,Manchester City,Burnley,BUR,MCI,5,0,2.26129,0.419877,True,True,https://understat.com/match/14533
ENG-Premier League,2021,2020-11-28 West Bromwich Albion-Sheffield United,1,2020,14527,2020-11-28 20:00:00,76,238,West Bromwich Albion,Sheffield United,SHE,WBA,1,0,1.71644,3.36544,True,True,https://understat.com/match/14527
ENG-Premier League,2021,2020-11-29 Arsenal-Wolverhampton Wanderers,1,2020,14525,2020-11-29 19:15:00,83,229,Arsenal,Wolverhampton Wanderers,WOL,ARS,1,2,1.1185,2.0069,True,True,https://understat.com/match/14525
ENG-Premier League,2021,2020-11-29 Chelsea-Tottenham,1,2020,14529,2020-11-29 16:30:00,80,82,Chelsea,Tottenham,TOT,CHE,0,0,0.974755,0.22689,True,True,https://understat.com/match/14529
ENG-Premier League,2021,2020-11-29 Southampton-Manchester United,1,2020,14534,2020-11-29 14:00:00,74,89,Southampton,Manchester United,MUN,SOU,2,3,0.498783,2.47547,True,True,https://understat.com/match/14534
ENG-Premier League,2021,2020-11-30 Leicester-Fulham,1,2020,14532,2020-11-30 17:30:00,75,228,Leicester,Fulham,FLH,LEI,1,2,1.27814,2.03719,True,True,https://understat.com/match/14532
ENG-Premier League,2021,2020-11-30 West Ham-Aston Villa,1,2020,14526,2020-11-30 20:00:00,81,71,West Ham,Aston Villa,AVL,WHU,2,1,0.571633,2.39051,True,True,https://understat.com/match/14526
ENG-Premier League,2021,2020-12-05 Burnley-Everton,1,2020,14537,2020-12-05 12:30:00,92,72,Burnley,Everton,EVE,BUR,1,1,0.730434,2.28139,True,True,https://understat.com/match/14537
