team,appearances,minutesPlayed,saves,goalsConceded,rating
Beşiktaş JK,5,354,0,15,6.52
Sporting CP,5,169,0,6,6.52
Liverpool FC,11,578,0,7,6.5
Red Bull Salzburg,1,8,0,0,6.5
Villarreal,1,11,0,1,6.5
Dynamo Kyiv,2,105,0,2,6.5
Dynamo Kyiv,2,81,0,3,6.5
FC Porto,3,46,0,2,6.5
Malmö FF,4,115,0,4,6.5
Inter,5,106,0,2,6.5
Malmö FF,6,359,0,9,6.48
Real Madrid,2,19,0,1,6.45
Sporting CP,2,104,0,0,6.45
Dynamo Kyiv,2,19,0,0,6.45
Shakhtar Donetsk,6,374,0,7,6.45
Malmö FF,5,440,0,13,6.44
Milan,3,30,0,0,6.43
Manchester United,4,123,0,2,6.43
Atlético Madrid,7,472,0,7,6.41
Manchester City,1,9,0,0,6.4
Lille,1,9,0,0,6.4
Sevilla,1,20,0,0,6.4
Shakhtar Donetsk,1,8,0,0,6.4
VfL Wolfsburg,1,9,0,1,6.4
FC Porto,2,37,0,1,6.4
Club Brugge KV,2,26,0,1,6.4
Sheriff Tiraspol,2,19,0,0,6.4
FC Barcelona,3,179,0,3,6.4
Borussia Dortmund,3,28,0,3,6.4
Atlético Madrid,5,142,0,2,6.4
Villarreal,8,267,0,7,6.37
Paris Saint-Germain,3,51,0,0,6.35
FC Barcelona,1,15,0,0,6.3
Borussia Dortmund,1,20,0,1,6.3
BSC Young Boys,4,60,0,3,6.3
Beşiktaş JK,5,264,0,9,6.28
Sevilla,2,83,0,1,6.15
Borussia Dortmund,2,99,0,2,6.1
Real Madrid,1,12,0,0,6.0
Benfica,1,9,0,0,5.7
Sporting CP,1,1,0,0,0.0
Juventus,1,1,0,0,0.0
Zenit St. Petersburg,1,2,0,0,0.0
