season,player_id,player_name,team_name,injury_type,reason,fixture_date,days_out
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2024-01-31,185
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-01-31,238
2023-2024,2699,S. Ghoddos,Brentford,Missing Fixture,International duty,2024-01-31,16
2023-2024,739,S. Reguilon,Brentford,Missing Fixture,Loan agreement,2024-01-31,59
2023-2024,20649,Y. Wissa,Brentford,Missing Fixture,International duty,2024-01-31,20
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-02-05,211
2023-2024,20589,B. Mbeumo,Brentford,Missing Fixture,Ankle Injury,2024-02-05,91
2023-2024,15799,F. Onyeka,Brentford,Missing Fixture,International duty,2024-02-05,44
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2024-02-05,185
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-02-05,238
2023-2024,2699,S. Ghoddos,Brentford,Missing Fixture,International duty,2024-02-05,16
2023-2024,20649,Y. Wissa,Brentford,Missing Fixture,International duty,2024-02-05,20
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-02-10,211
2023-2024,20589,B. Mbeumo,Brentford,Missing Fixture,Ankle Injury,2024-02-10,91
2023-2024,15799,F. Onyeka,Brentford,Missing Fixture,International duty,2024-02-10,44
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-02-10,154
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2024-02-10,185
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-02-10,238
2023-2024,20649,Y. Wissa,Brentford,Missing Fixture,International duty,2024-02-10,20
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-02-17,211
2023-2024,20589,B. Mbeumo,Brentford,Missing Fixture,Ankle Injury,2024-02-17,91
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-02-17,154
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2024-02-17,185
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-02-17,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-02-20,211
2023-2024,20589,B. Mbeumo,Brentford,Missing Fixture,Ankle Injury,2024-02-20,91
2023-2024,19789,E. Pinnock,Brentford,Missing Fixture,Ankle Injury,2024-02-20,24
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-02-20,154
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2024-02-20,185
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-02-20,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-02-26,211
2023-2024,20589,B. Mbeumo,Brentford,Missing Fixture,Ankle Injury,2024-02-26,91
2023-2024,19789,E. Pinnock,Brentford,Missing Fixture,Ankle Injury,2024-02-26,24
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-02-26,154
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2024-02-26,185
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-02-26,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-03-02,211
2023-2024,20589,B. Mbeumo,Brentford,Missing Fixture,Ankle Injury,2024-03-02,91
2023-2024,18917,B. Mee,Brentford,Missing Fixture,Broken ankle,2024-03-02,143
2023-2024,19789,E. Pinnock,Brentford,Missing Fixture,Ankle Injury,2024-03-02,24
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Knee Injury,2024-03-02,154
