team,appearances,minutesPlayed,saves,goalsConceded,rating
Olympiacos FC,3,37,0,3,6.6
Club Brugge KV,6,301,0,8,6.6
FC Bayern München,1,9,0,0,6.6
FC Porto,2,12,0,1,6.6
Lokomotiv Moscow,3,201,0,4,6.6
Shakhtar Donetsk,3,160,0,6,6.6
Club Brugge KV,3,77,0,3,6.6
Manchester United,4,207,0,3,6.6
Borussia M'gladbach,7,300,0,8,6.59
Zenit St. Petersburg,4,287,0,7,6.58
Manchester City,7,149,0,1,6.57
RB Leipzig,3,92,0,2,6.57
Borussia M'gladbach,3,27,0,0,6.57
Lokomotiv Moscow,4,180,0,1,6.57
AFC Ajax,5,246,0,3,6.56
Lazio,5,181,0,3,6.56
FC Barcelona,2,21,0,0,6.55
Sevilla,4,97,0,3,6.55
Inter,5,118,0,2,6.54
FC Midtjylland,3,43,0,0,6.53
Başakşehir FK,4,204,0,9,6.53
Borussia M'gladbach,4,64,0,3,6.53
Olympiacos FC,5,426,0,7,6.52
Olympique de Marseille,6,257,0,8,6.52
Real Madrid,1,14,0,0,6.5
Olympiacos FC,2,65,0,3,6.5
Shakhtar Donetsk,2,41,0,1,6.5
Ferencváros TC,2,36,0,0,6.5
AFC Ajax,3,47,0,1,6.5
FC Midtjylland,3,47,0,2,6.5
Real Madrid,4,105,0,1,6.5
FC Porto,5,74,0,0,6.5
FC Midtjylland,5,344,0,9,6.48
Başakşehir FK,4,249,0,10,6.43
Dynamo Kyiv,6,307,0,6,6.42
Inter,1,8,0,0,6.4
Atlético Madrid,1,10,0,0,6.4
Sevilla,1,12,0,1,6.4
Borussia Dortmund,1,9,0,0,6.4
FC Krasnodar,2,42,0,1,6.4
Stade Rennais,4,98,0,5,6.4
Club Brugge KV,3,30,0,0,6.35
Real Madrid,1,59,0,3,6.3
Borussia Dortmund,1,32,0,0,6.3
Atalanta,1,9,0,0,6.3
Manchester United,1,1,0,1,0.0
Shakhtar Donetsk,1,1,0,0,0.0
FC Krasnodar,1,1,0,0,0.0
