team,appearances,minutesPlayed,goals,assists,shotsOnTarget,totalShots,bigChancesMissed,successfulDribbles,aerialDuelsWon,rating
Bologna,8,619,0,0,0,17,0,9,5,7.05
Liverpool FC,9,643,1,1,3,10,0,7,3,7.04
Atalanta,9,739,1,0,2,10,0,11,7,7.04
Borussia Dortmund,12,957,0,0,2,5,0,18,7,7.04
FK Crvena zvezda,8,667,1,2,2,6,0,7,12,7.04
Borussia Dortmund,14,850,4,0,7,23,0,27,3,7.04
Benfica,9,547,1,2,7,18,3,7,1,7.03
Manchester City,10,527,2,0,5,15,3,3,1,7.03
Shakhtar Donetsk,8,702,2,1,4,12,2,10,2,7.03
Inter,13,856,0,0,3,13,3,9,6,7.02
SK Sturm Graz,7,607,0,1,1,6,0,1,8,7.01
Shakhtar Donetsk,8,544,2,1,5,12,0,6,1,7.01
Bayer 04 Leverkusen,10,367,1,0,4,7,1,0,1,7.01
RB Leipzig,8,593,0,0,2,5,0,1,5,7.01
Real Madrid,9,497,0,0,0,2,0,3,7,7.01
Atalanta,10,874,0,1,1,4,0,4,12,7.01
Liverpool FC,5,174,3,0,3,4,0,1,0,7.0
FC Bayern München,12,845,1,1,6,15,6,1,17,7.0
Milan,10,800,0,2,2,13,0,9,5,7.0
RB Leipzig,7,405,0,1,0,1,0,1,6,7.0
Real Madrid,11,487,2,1,7,10,3,13,1,6.99
Aston Villa,10,398,1,2,4,6,1,6,1,6.99
Manchester City,9,577,1,1,4,17,1,18,1,6.99
ŠK Slovan Bratislava,8,552,1,2,4,14,1,8,9,6.99
Liverpool FC,8,354,0,2,2,8,0,9,1,6.99
Inter,13,994,0,2,2,12,0,15,2,6.98
Real Madrid,10,575,1,1,4,8,0,4,1,6.98
Bologna,5,249,1,0,3,5,0,2,2,6.98
Juventus,4,211,0,1,2,6,1,6,1,6.98
Club Brugge KV,11,951,0,0,2,8,0,8,1,6.97
Atalanta,10,605,3,1,7,17,3,3,8,6.97
Manchester City,6,354,1,0,1,7,0,1,2,6.97
Benfica,12,990,0,1,5,13,3,9,9,6.97
AS Monaco,9,575,0,1,2,8,1,12,2,6.97
Sporting CP,10,730,0,1,2,9,0,12,3,6.96
AS Monaco,9,568,3,1,6,13,2,2,4,6.96
Sporting CP,9,765,0,0,2,5,0,2,3,6.96
GNK Dinamo Zagreb,6,481,0,1,0,4,0,0,1,6.95
Girona FC,6,446,0,0,1,1,0,0,8,6.95
Lille,9,467,2,1,3,6,1,13,2,6.94
AS Monaco,9,610,0,0,0,6,0,2,6,6.94
Arsenal,12,899,0,0,4,5,2,4,7,6.94
Celtic,10,900,0,0,2,4,1,8,3,6.94
Sporting CP,8,504,1,0,2,6,0,14,1,6.94
Benfica,9,717,0,0,0,0,0,4,6,6.93
Manchester City,7,404,0,0,3,13,1,2,0,6.93
FC Bayern München,11,464,1,0,6,16,2,10,3,6.93
Aston Villa,8,266,3,0,6,11,2,1,1,6.93
AC Sparta Praha,8,605,1,0,1,8,0,9,5,6.93
Aston Villa,5,272,1,0,2,3,0,2,4,6.92
RB Leipzig,5,261,0,0,0,2,0,4,3,6.92
AS Monaco,7,615,1,0,2,7,0,5,4,6.91
Juventus,9,555,1,1,3,5,0,5,6,6.91
Lille,9,810,0,0,1,5,1,5,28,6.91
Atlético Madrid,10,416,0,3,4,13,3,3,2,6.91
FC Barcelona,11,450,1,3,8,16,3,7,0,6.91
FC Bayern München,12,548,0,2,9,16,4,9,1,6.91
FC Bayern München,13,633,1,0,10,29,4,10,4,6.9
Feyenoord,7,597,0,1,2,6,0,13,4,6.9
Celtic,4,60,0,1,0,2,0,0,1,6.9
Real Madrid,9,405,0,1,0,2,0,1,0,6.9
Girona FC,6,453,0,0,1,4,1,13,1,6.9
Atalanta,8,468,1,0,2,4,0,7,5,6.89
Juventus,9,555,3,0,4,5,1,5,4,6.88
Paris Saint-Germain,4,47,2,0,2,2,0,1,0,6.88
VfB Stuttgart,4,137,1,0,1,4,0,2,7,6.88
Shakhtar Donetsk,4,205,0,0,3,6,0,4,2,6.88
Atlético Madrid,7,401,0,1,0,1,0,0,1,6.87
Stade Brestois,10,712,1,0,3,10,1,9,3,6.87
Inter,10,586,0,1,1,10,2,7,0,6.87
Juventus,9,654,0,0,1,9,3,2,9,6.87
BSC Young Boys,7,598,0,1,2,6,0,7,1,6.86
Juventus,7,563,0,1,1,3,0,7,0,6.86
Bologna,7,506,0,0,0,1,0,1,7,6.86
Lille,8,566,2,0,3,5,1,6,5,6.85
Sporting CP,5,234,0,1,2,3,0,2,2,6.85
Benfica,5,109,0,1,2,2,0,0,1,6.85
Lille,2,82,0,0,0,2,0,3,0,6.85
Juventus,7,228,1,0,4,4,1,5,0,6.84
Borussia Dortmund,11,846,0,0,3,16,2,1,11,6.84
Bologna,6,325,0,0,4,13,1,6,6,6.83
Bologna,7,386,0,0,1,4,0,1,2,6.83
Paris Saint-Germain,13,602,1,0,1,8,1,6,4,6.83
Red Bull Salzburg,8,679,0,2,2,9,0,24,0,6.83
FC Barcelona,13,801,0,0,0,4,2,1,9,6.83
AS Monaco,4,211,0,0,1,2,1,3,3,6.83
Girona FC,5,330,0,0,2,5,1,4,4,6.82
Girona FC,5,343,0,0,2,9,1,3,5,6.82
Manchester City,6,307,1,0,2,5,0,3,0,6.82
Real Madrid,7,147,0,0,1,7,1,2,1,6.82
Feyenoord,7,569,0,0,2,6,0,1,5,6.81
Manchester City,9,766,0,0,1,7,2,6,0,6.81
RB Leipzig,8,482,2,0,6,12,2,2,5,6.8
Aston Villa,8,530,1,1,3,9,2,7,1,6.8
BSC Young Boys,5,309,1,0,1,4,0,3,4,6.8
Aston Villa,6,109,1,0,1,1,0,1,1,6.8
Liverpool FC,1,90,0,0,0,0,0,1,1,6.8
FK Crvena zvezda,1,14,0,0,0,0,0,1,0,6.8
Club Brugge KV,6,369,0,0,4,10,2,6,0,6.8
FC Bayern München,5,181,0,0,0,5,1,2,2,6.8
Borussia Dortmund,3,86,0,0,0,1,0,1,0,6.8
Stade Brestois,7,316,0,0,2,4,0,8,4,6.8
GNK Dinamo Zagreb,1,16,0,0,1,1,0,0,1,6.8
Sporting CP,1,45,0,0,0,1,0,1,0,6.8
Arsenal,6,329,1,0,1,1,0,0,2,6.78
AC Sparta Praha,6,309,0,1,1,1,0,3,0,6.78
Atlético Madrid,5,143,0,0,1,3,0,2,0,6.78
Aston Villa,10,701,0,0,1,2,0,5,14,6.78
Atlético Madrid,9,468,1,1,2,5,0,5,4,6.78
ŠK Slovan Bratislava,8,604,0,1,1,1,0,4,5,6.78
SK Sturm Graz,8,621,0,0,1,7,0,6,3,6.78
Inter,8,354,0,0,1,3,0,1,0,6.78
Feyenoord,11,785,3,0,5,9,0,9,5,6.77
PSV Eindhoven,4,114,0,1,3,4,1,0,0,6.77
AC Sparta Praha,3,30,0,0,0,0,0,0,1,6.77
Juventus,9,485,0,0,2,5,0,5,4,6.77
AC Sparta Praha,3,270,0,0,1,4,0,4,3,6.77
Aston Villa,3,124,0,0,0,1,0,1,0,6.77
FK Crvena zvezda,5,175,2,0,2,5,0,2,1,6.76
Sporting CP,8,315,1,2,3,9,1,1,3,6.75
Girona FC,6,242,0,0,1,3,0,10,0,6.75
Girona FC,7,454,1,0,2,4,1,1,3,6.74
AS Monaco,7,284,1,0,1,2,0,1,6,6.74
Inter,10,550,0,0,3,4,0,0,4,6.74
Inter,13,497,2,0,4,9,1,4,1,6.74
PSV Eindhoven,12,774,0,2,7,16,4,2,11,6.73
Juventus,6,308,0,0,0,5,0,2,4,6.73
ŠK Slovan Bratislava,7,459,1,1,2,8,0,10,4,6.73
PSV Eindhoven,7,567,1,0,1,3,0,4,4,6.73
Club Brugge KV,11,554,2,1,7,10,1,1,1,6.73
Benfica,6,96,0,0,0,2,0,1,0,6.73
Club Brugge KV,6,146,1,0,2,3,0,0,1,6.72
FK Crvena zvezda,5,140,1,0,1,3,0,1,3,6.72
GNK Dinamo Zagreb,6,289,0,0,1,6,1,3,8,6.72
BSC Young Boys,7,444,1,0,2,8,0,0,3,6.71
Club Brugge KV,11,939,1,1,3,10,0,4,2,6.71
AC Sparta Praha,8,714,2,0,3,5,0,1,7,6.7
Manchester City,5,105,1,0,3,6,1,2,0,6.7
Feyenoord,3,80,0,0,0,0,0,1,0,6.7
Aston Villa,4,146,0,0,0,0,0,0,1,6.7
Bologna,5,289,0,0,2,4,1,3,1,6.7
Borussia Dortmund,9,282,0,1,1,6,2,3,2,6.69
Girona FC,5,95,0,0,0,0,0,0,1,6.68
Lille,4,168,1,0,1,1,0,1,0,6.68
Club Brugge KV,5,118,0,0,0,1,0,0,1,6.68
RB Leipzig,7,351,0,0,0,0,0,1,1,6.67
Bologna,7,497,0,0,4,8,1,4,3,6.67
FC Barcelona,10,303,0,0,1,3,1,0,6,6.67
BSC Young Boys,8,627,0,0,1,10,1,19,11,6.66
Benfica,9,275,0,0,2,5,2,0,5,6.66
Shakhtar Donetsk,7,295,1,0,1,3,1,5,0,6.66
FK Crvena zvezda,8,624,2,0,4,12,1,17,2,6.65
Lille,2,25,0,0,0,0,0,1,1,6.65
Borussia Dortmund,3,34,0,0,0,0,0,0,2,6.65
Milan,6,283,0,0,2,2,1,2,5,6.65
Bologna,4,211,0,0,1,4,0,3,3,6.65
Celtic,8,236,0,0,0,2,0,5,1,6.65
GNK Dinamo Zagreb,7,362,0,1,2,3,0,8,3,6.64
Red Bull Salzburg,7,365,0,0,0,0,0,1,6,6.64
Stade Brestois,10,659,1,0,2,6,0,0,2,6.64
Stade Brestois,5,76,0,0,3,3,1,1,1,6.64
Atalanta,6,140,1,0,2,3,1,2,1,6.63
ŠK Slovan Bratislava,3,114,0,0,0,0,0,0,0,6.63
Atlético Madrid,4,271,0,0,0,0,0,0,4,6.63
ŠK Slovan Bratislava,4,34,0,0,0,0,0,0,0,6.63
ŠK Slovan Bratislava,3,251,0,0,1,1,0,4,3,6.63
Stade Brestois,10,697,1,0,3,10,0,3,2,6.63
PSV Eindhoven,11,582,0,0,0,1,0,3,3,6.63
VfB Stuttgart,4,149,1,0,1,5,0,0,1,6.63
Bologna,5,128,0,1,1,2,0,1,4,6.63
Stade Brestois,8,310,0,0,0,1,0,13,0,6.63
Red Bull Salzburg,5,335,1,0,3,4,1,1,0,6.62
Girona FC,7,332,0,0,0,4,1,0,1,6.61
FK Crvena zvezda,7,419,0,0,1,8,0,2,1,6.61
ŠK Slovan Bratislava,8,330,1,0,2,8,1,7,0,6.61
BSC Young Boys,7,297,0,1,0,3,0,6,0,6.6
Inter,1,10,0,0,0,0,0,0,0,6.6
BSC Young Boys,7,289,0,0,3,8,2,1,1,6.6
GNK Dinamo Zagreb,6,265,0,0,1,6,0,5,2,6.6
AS Monaco,3,31,0,0,0,1,0,0,1,6.6
FK Crvena zvezda,5,179,0,0,0,4,0,3,3,6.6
Feyenoord,4,184,0,0,0,2,0,3,3,6.6
Sporting CP,7,371,0,0,1,2,0,1,6,6.59
SK Sturm Graz,6,136,0,0,1,4,1,4,1,6.58
Shakhtar Donetsk,8,673,0,0,0,3,0,1,3,6.58
Benfica,4,150,0,0,1,4,0,1,2,6.58
AC Sparta Praha,7,526,0,0,0,3,0,2,3,6.57
Red Bull Salzburg,3,49,0,0,0,0,0,0,2,6.57
Bayer 04 Leverkusen,6,138,0,0,0,0,0,2,0,6.57
Atlético Madrid,6,434,0,0,0,2,0,2,2,6.57
Celtic,3,51,0,0,1,1,0,0,1,6.57
Milan,7,412,0,0,0,5,0,8,6,6.56
Liverpool FC,6,139,0,0,0,0,0,0,2,6.55
Red Bull Salzburg,6,301,0,0,0,0,0,1,1,6.55
BSC Young Boys,5,341,0,1,0,2,0,4,2,6.54
Lille,9,622,0,1,1,2,1,5,3,6.53
Red Bull Salzburg,6,327,0,0,1,2,1,2,2,6.53
FK Crvena zvezda,3,240,0,0,2,4,0,4,2,6.53
Stade Brestois,10,444,0,0,4,9,3,5,4,6.53
Liverpool FC,1,26,0,0,0,0,0,0,0,6.5
GNK Dinamo Zagreb,1,73,0,0,0,0,0,1,0,6.5
RB Leipzig,1,10,0,0,0,0,0,0,0,6.5
VfB Stuttgart,1,11,0,0,0,0,0,0,0,6.5
Girona FC,1,79,0,0,0,0,0,1,0,6.5
GNK Dinamo Zagreb,2,18,0,0,0,0,0,0,0,6.5
SK Sturm Graz,5,364,0,0,0,0,0,1,9,6.5
ŠK Slovan Bratislava,3,149,0,0,0,1,0,3,0,6.5
Atlético Madrid,1,9,0,0,0,1,0,0,0,6.5
SK Sturm Graz,7,195,0,0,0,3,0,1,0,6.5
Feyenoord,1,63,0,0,1,1,0,0,0,6.5
VfB Stuttgart,3,36,0,0,0,1,0,0,1,6.5
Feyenoord,2,53,0,0,0,1,0,0,0,6.5
Red Bull Salzburg,6,202,0,0,0,1,0,4,0,6.5
Shakhtar Donetsk,8,473,0,0,0,5,0,3,1,6.49
AC Sparta Praha,7,506,0,0,0,4,0,1,2,6.48
Borussia Dortmund,8,240,0,0,0,1,0,1,1,6.48
Shakhtar Donetsk,4,92,0,0,0,1,0,2,0,6.48
AC Sparta Praha,3,52,0,0,0,0,0,2,0,6.47
Feyenoord,3,91,0,0,1,1,0,1,1,6.47
FK Crvena zvezda,5,90,0,0,0,2,0,1,0,6.46
Club Brugge KV,7,188,0,1,1,5,1,1,1,6.45
FK Crvena zvezda,2,24,0,0,0,0,0,0,0,6.45
BSC Young Boys,2,39,0,0,0,0,0,0,2,6.45
FC Barcelona,2,26,0,0,0,1,1,0,0,6.45
Feyenoord,4,111,0,0,0,1,0,0,1,6.45
ŠK Slovan Bratislava,4,22,0,0,1,1,0,1,0,6.45
Bayer 04 Leverkusen,5,106,0,0,0,1,0,1,2,6.45
SK Sturm Graz,6,42,0,0,0,1,0,0,1,6.45
RB Leipzig,3,46,0,0,0,0,0,0,0,6.43
GNK Dinamo Zagreb,6,214,0,0,1,1,0,2,2,6.43
ŠK Slovan Bratislava,7,204,0,0,0,2,0,2,0,6.42
Juventus,1,22,0,0,0,0,0,0,0,6.4
Borussia Dortmund,1,13,0,0,0,0,0,0,0,6.4
Bayer 04 Leverkusen,1,14,0,0,0,0,0,0,0,6.4
PSV Eindhoven,1,90,0,0,0,0,0,0,0,6.4
BSC Young Boys,1,27,0,0,0,0,0,0,0,6.4
Shakhtar Donetsk,6,119,0,0,0,0,0,0,2,6.4
AC Sparta Praha,4,89,0,0,1,1,0,0,3,6.4
Atalanta,3,71,0,0,0,0,0,1,0,6.37
Benfica,2,98,0,0,0,0,0,2,3,6.35
Celtic,2,33,0,0,0,0,0,0,1,6.35
AC Sparta Praha,7,157,0,0,0,1,1,1,0,6.33
Red Bull Salzburg,6,343,0,0,0,6,0,4,2,6.33
Bologna,1,29,0,0,0,0,0,0,0,6.3
Atlético Madrid,1,45,0,0,0,0,0,0,0,6.3
ŠK Slovan Bratislava,5,331,0,0,1,2,0,0,3,6.28
RB Leipzig,2,23,0,0,0,1,1,1,1,6.2
Inter,2,37,0,0,1,2,0,2,0,6.2
AC Sparta Praha,2,130,0,0,0,1,0,0,0,6.15
AS Monaco,1,52,0,0,0,0,0,0,1,5.8
FC Bayern München,1,2,0,0,0,0,0,0,0,0.0
Borussia Dortmund,1,1,0,0,0,0,0,0,0,0.0
Bologna,1,1,0,0,0,0,0,0,0,0.0
AC Sparta Praha,1,1,0,0,0,0,0,0,0,0.0
Atlético Madrid,10,732,6,2,10,19,3,8,9,7.76
FC Bayern München,13,1119,11,2,25,50,10,8,17,7.7
Atalanta,7,483,5,1,12,29,4,15,1,7.69
Paris Saint-Germain,15,1162,8,6,23,64,10,24,2,7.63
Atalanta,10,702,4,5,10,17,1,18,11,7.62
Paris Saint-Germain,9,735,3,2,9,30,1,16,2,7.59
Arsenal,9,763,6,2,14,24,2,14,0,7.58
Atlético Madrid,10,790,7,1,11,22,1,10,1,7.53
Real Madrid,12,881,5,2,11,25,2,18,5,7.51
Real Madrid,12,1104,8,2,18,42,5,28,1,7.49
Borussia Dortmund,14,1083,13,4,26,41,10,5,33,7.44
Manchester City,9,771,8,0,21,39,9,3,11,7.41
FC Barcelona,13,983,11,0,18,33,6,3,24,7.41
Borussia Dortmund,10,691,5,1,11,24,1,16,8,7.4
Paris Saint-Germain,16,741,5,3,17,32,3,22,5,7.37
Sporting CP,8,606,6,1,11,24,4,8,4,7.36
Milan,2,180,0,0,5,8,0,3,3,7.35
Arsenal,8,560,4,1,7,15,2,4,17,7.34
Inter,14,857,9,0,18,23,2,10,12,7.31
GNK Dinamo Zagreb,3,192,2,0,2,4,0,1,16,7.3
Milan,7,449,6,1,8,11,0,3,10,7.29
Real Madrid,14,1132,7,1,27,51,8,24,3,7.28
Milan,9,631,4,1,10,15,0,9,2,7.22
Lille,10,746,7,2,11,20,4,8,2,7.21
Liverpool FC,3,106,0,0,4,4,0,3,0,7.2
PSV Eindhoven,12,859,2,1,10,27,1,19,4,7.19
PSV Eindhoven,7,171,2,1,8,10,0,3,1,7.18
Juventus,9,605,1,1,3,13,1,23,3,7.18
Atlético Madrid,8,270,3,1,3,11,0,4,0,7.18
Aston Villa,4,309,0,2,4,5,1,7,1,7.18
Milan,10,798,3,1,11,16,1,39,6,7.17
Paris Saint-Germain,17,1096,3,4,13,31,12,29,6,7.13
PSV Eindhoven,12,907,2,1,9,25,9,1,69,7.12
Celtic,10,792,3,1,4,8,1,17,1,7.1
Borussia Dortmund,13,881,0,5,3,13,0,9,5,7.08
FC Bayern München,3,97,0,0,3,9,1,2,1,7.07
Borussia Dortmund,5,238,2,1,5,9,3,3,3,7.06
Inter,12,714,1,3,3,10,0,6,10,7.06
Benfica,12,905,7,2,18,31,9,11,15,7.05
Stade Brestois,8,644,0,2,4,13,2,3,35,7.05
Benfica,12,852,4,0,10,21,1,3,6,7.03
Arsenal,13,940,2,1,11,21,3,20,7,7.03
AS Monaco,10,750,1,3,6,19,5,9,24,7.03
Girona FC,7,386,1,2,3,14,0,14,1,7.03
Milan,9,310,2,1,4,8,1,4,9,7.02
PSV Eindhoven,10,686,2,2,8,21,1,13,3,7.02
Inter,14,952,4,1,8,22,5,12,22,7.01
Juventus,9,548,4,1,7,20,2,2,6,7.01
Aston Villa,7,237,3,0,4,14,0,3,11,7.0
FC Barcelona,11,420,3,1,6,14,2,3,4,6.95
Stade Brestois,9,510,3,0,4,16,2,1,21,6.94
Milan,7,276,0,1,2,10,0,11,5,6.94
AC Sparta Praha,6,265,0,0,2,7,0,4,0,6.93
AS Monaco,3,93,0,0,3,5,0,3,1,6.93
Juventus,10,668,1,1,2,16,0,22,4,6.92
Milan,7,395,1,1,3,7,1,4,7,6.91
RB Leipzig,8,522,4,0,9,17,2,4,14,6.91
Bayer 04 Leverkusen,4,243,1,0,4,13,1,6,3,6.9
GNK Dinamo Zagreb,5,185,1,0,3,3,0,5,1,6.9
Club Brugge KV,12,857,2,1,5,16,1,2,15,6.89
GNK Dinamo Zagreb,7,495,3,0,4,8,2,1,18,6.89
VfB Stuttgart,6,426,1,1,4,16,3,1,3,6.88
FK Crvena zvezda,8,571,2,1,3,9,3,5,15,6.86
Atalanta,10,575,3,0,10,24,6,5,13,6.86
Lille,5,360,1,1,3,8,0,17,0,6.86
Paris Saint-Germain,12,211,3,1,5,10,5,1,5,6.86
Arsenal,14,665,2,2,5,18,2,10,4,6.84
AS Monaco,6,109,2,0,2,4,0,1,2,6.84
Red Bull Salzburg,8,484,0,0,3,8,1,14,2,6.84
Feyenoord,7,263,1,0,2,4,0,1,3,6.83
RB Leipzig,8,683,1,2,5,19,4,5,3,6.83
Borussia Dortmund,9,300,0,0,2,5,0,10,1,6.82
PSV Eindhoven,5,153,1,0,3,5,0,1,1,6.82
Shakhtar Donetsk,5,221,1,0,2,3,0,2,4,6.82
Milan,5,108,0,1,0,1,0,8,2,6.82
Aston Villa,12,697,1,4,8,18,4,2,12,6.82
Bayer 04 Leverkusen,7,329,1,0,3,12,2,1,1,6.82
Arsenal,6,296,0,2,4,6,3,7,0,6.82
Celtic,10,337,3,0,6,9,2,2,4,6.8
Sporting CP,9,332,1,0,8,17,1,8,7,6.8
PSV Eindhoven,1,10,0,0,0,0,0,1,0,6.8
PSV Eindhoven,2,33,0,0,1,4,0,2,0,6.8
Celtic,2,85,0,0,0,1,0,3,0,6.8
Celtic,9,761,4,0,7,15,5,7,1,6.79
AC Sparta Praha,8,423,2,1,3,10,2,8,13,6.79
Benfica,7,414,0,0,1,8,1,3,2,6.79
Red Bull Salzburg,5,318,2,0,4,12,2,3,4,6.78
Lille,7,266,0,1,1,3,1,6,4,6.77
AC Sparta Praha,6,494,0,0,7,16,2,4,5,6.77
SK Sturm Graz,8,669,0,1,4,8,1,6,1,6.76
Real Madrid,9,134,1,0,2,8,1,1,0,6.76
Benfica,11,243,1,0,6,15,1,5,12,6.75
Arsenal,5,260,0,1,4,8,3,4,5,6.74
Celtic,6,152,0,1,0,3,0,2,0,6.74
VfB Stuttgart,8,403,1,0,6,20,4,6,5,6.74
RB Leipzig,6,161,1,0,2,7,1,0,12,6.73
Borussia Dortmund,12,617,1,0,6,12,4,5,2,6.73
Red Bull Salzburg,7,393,1,0,3,7,1,7,1,6.73
Red Bull Salzburg,4,93,0,0,0,3,0,0,2,6.73
Bayer 04 Leverkusen,5,210,0,0,2,2,0,2,9,6.72
Liverpool FC,9,466,1,1,10,15,4,4,6,6.71
AS Monaco,10,547,2,0,4,12,3,11,2,6.7
Bayer 04 Leverkusen,8,407,1,0,3,12,2,3,14,6.7
Bologna,8,410,1,0,6,10,2,3,7,6.7
Sporting CP,1,9,0,0,0,0,0,0,0,6.7
BSC Young Boys,7,306,0,0,1,6,0,3,1,6.7
Inter,1,14,0,0,0,1,0,0,0,6.7
ŠK Slovan Bratislava,8,674,2,0,3,9,2,4,12,6.69
RB Leipzig,8,516,0,0,3,9,2,13,4,6.69
Benfica,6,86,1,0,1,4,0,0,4,6.68
Bayer 04 Leverkusen,4,130,0,1,0,1,0,1,0,6.67
Lille,3,138,0,0,0,2,0,3,5,6.67
Bologna,8,352,1,0,1,4,1,6,1,6.66
Atalanta,7,131,1,0,1,4,1,3,0,6.66
AS Monaco,8,556,2,0,4,8,2,2,8,6.65
Bayer 04 Leverkusen,4,108,0,1,0,0,0,1,0,6.65
SK Sturm Graz,4,131,0,0,2,4,1,3,1,6.65
Stade Brestois,9,378,1,0,7,14,2,3,7,6.64
Club Brugge KV,7,185,1,0,1,4,1,1,7,6.64
Stade Brestois,9,452,0,1,1,15,2,9,15,6.63
Girona FC,3,146,0,0,0,0,0,0,1,6.63
Shakhtar Donetsk,7,408,0,1,3,9,2,4,9,6.63
Milan,4,52,0,0,2,2,0,1,2,6.63
AC Sparta Praha,6,327,1,0,1,3,0,2,6,6.62
BSC Young Boys,7,244,0,0,1,5,0,0,14,6.61
SK Sturm Graz,8,388,0,0,2,2,0,5,6,6.61
Feyenoord,8,388,2,0,3,6,1,1,4,6.6
BSC Young Boys,8,489,1,0,6,13,2,3,19,6.6
ŠK Slovan Bratislava,7,160,1,0,2,2,0,4,2,6.6
Girona FC,1,11,0,0,0,0,0,3,0,6.6
Sporting CP,1,68,0,0,0,1,0,0,0,6.6
Sporting CP,1,34,0,0,0,1,0,0,0,6.6
Benfica,4,65,0,0,0,0,0,0,0,6.58
Girona FC,4,275,0,0,5,7,2,0,5,6.58
Feyenoord,7,316,0,0,4,5,0,4,2,6.57
Shakhtar Donetsk,6,148,0,0,0,1,0,1,6,6.57
FC Barcelona,4,51,0,0,0,0,0,1,0,6.55
Manchester City,2,100,0,0,0,2,0,0,1,6.55
Inter,7,207,1,0,3,5,4,3,4,6.54
FK Crvena zvezda,7,161,0,0,1,5,0,1,4,6.53
Celtic,7,467,1,0,4,10,3,4,0,6.53
FC Barcelona,6,52,0,0,0,0,0,0,0,6.53
RB Leipzig,4,92,0,0,0,1,0,0,1,6.53
Girona FC,5,94,0,0,0,0,1,1,2,6.52
Sporting CP,2,73,0,0,0,0,0,0,0,6.5
Bayer 04 Leverkusen,2,18,0,0,0,0,0,0,1,6.5
AS Monaco,3,47,0,0,0,0,0,0,0,6.5
Feyenoord,2,79,0,0,0,1,0,0,1,6.5
Stade Brestois,6,79,0,0,0,3,0,2,0,6.5
Bologna,7,336,0,0,1,5,1,0,3,6.49
BSC Young Boys,5,138,0,0,0,2,1,2,0,6.48
Club Brugge KV,5,57,0,0,1,2,0,0,0,6.48
SK Sturm Graz,5,96,0,0,0,1,0,0,6,6.46
Girona FC,8,278,0,0,4,7,2,0,4,6.45
GNK Dinamo Zagreb,5,60,0,0,0,2,0,3,0,6.45
Juventus,6,270,0,0,3,11,5,5,3,6.43
Celtic,1,11,0,0,0,0,0,0,0,6.4
Lille,1,23,0,0,1,1,1,0,0,6.4
Atlético Madrid,8,290,0,0,5,10,5,3,6,6.39
Benfica,4,42,0,0,0,2,0,0,0,6.37
AC Sparta Praha,2,41,0,0,0,0,0,0,0,6.3
Liverpool FC,4,237,0,0,1,5,3,0,1,6.3
Girona FC,1,11,0,0,0,0,0,0,0,6.1
Liverpool FC,1,83,0,0,0,1,0,0,0,6.1
Arsenal,1,1,0,0,0,0,0,0,0,0.0
SK Sturm Graz,1,1,0,0,0,0,0,0,0,0.0
Lille,1,1,0,0,0,0,0,0,0,0.0
