season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2024-2025,Aston Villa 2024 2025,2025-01-29,Champions Lg,Sctceltic,2025-01-29_champions_lg_sctceltic_goalkeeper_stats.csv,25e58fe8,https://fbref.com/en/matches/25e58fe8/Aston-Villa-Celtic-January-29-2025-Champions-League,2025-01-29,Champions Lg,League phase,Home,sctCeltic,W,2025-01-29_champions_lg_sctceltic,Aston Villa,Emiliano Martínez,ar ARG,32-149,90,4.0,2,2.0,50.0
2024-2025,Aston Villa 2024 2025,2025-02-01,Premier League,Wolves,2025-02-01_premier_league_wolves_goalkeeper_stats.csv,693ab427,https://fbref.com/en/matches/693ab427/Wolverhampton-Wanderers-Aston-Villa-February-1-2025-Premier-League,2025-02-01,Premier League,Matchweek 24,Away,Wolves,L,2025-02-01_premier_league_wolves,Aston Villa,Emiliano Martínez,ar ARG,32-152,90,5.0,2,3.0,60.0
2024-2025,Aston Villa 2024 2025,2025-02-09,Fa Cup,Tottenham Hotspur,2025-02-09_fa_cup_tottenham_hotspur_goalkeeper_stats.csv,1ca54345,https://fbref.com/en/matches/1ca54345/Aston-Villa-Tottenham-Hotspur-February-9-2025-FA-Cup,2025-02-09,FA Cup,Fourth round proper,Home,Tottenham Hotspur,W,2025-02-09_fa_cup_tottenham_hotspur,Aston Villa,Emiliano Martínez,ar ARG,32-160,90,5.0,1,4.0,80.0
2024-2025,Aston Villa 2024 2025,2025-02-15,Premier League,Ipswich Town,2025-02-15_premier_league_ipswich_town_goalkeeper_stats.csv,06fee8c4,https://fbref.com/en/matches/06fee8c4/Aston-Villa-Ipswich-Town-February-15-2025-Premier-League,2025-02-15,Premier League,Matchweek 25,Home,Ipswich Town,D,2025-02-15_premier_league_ipswich_town,Aston Villa,Emiliano Martínez,ar ARG,32-166,90,4.0,1,3.0,75.0
2024-2025,Aston Villa 2024 2025,2025-02-19,Premier League,Liverpool,2025-02-19_premier_league_liverpool_goalkeeper_stats.csv,39c7b656,https://fbref.com/en/matches/39c7b656/Aston-Villa-Liverpool-February-19-2025-Premier-League,2025-02-19,Premier League,Matchweek 29,Home,Liverpool,D,2025-02-19_premier_league_liverpool,Aston Villa,Emiliano Martínez,ar ARG,32-170,90,3.0,2,1.0,33.3
2024-2025,Aston Villa 2024 2025,2025-02-22,Premier League,Chelsea,2025-02-22_premier_league_chelsea_goalkeeper_stats.csv,5109d405,https://fbref.com/en/matches/5109d405/Aston-Villa-Chelsea-February-22-2025-Premier-League,2025-02-22,Premier League,Matchweek 26,Home,Chelsea,W,2025-02-22_premier_league_chelsea,Aston Villa,Emiliano Martínez,ar ARG,32-173,90,6.0,1,5.0,83.3
2024-2025,Aston Villa 2024 2025,2025-02-25,Premier League,Crystal Palace,2025-02-25_premier_league_crystal_palace_goalkeeper_stats.csv,0a97629a,https://fbref.com/en/matches/0a97629a/Crystal-Palace-Aston-Villa-February-25-2025-Premier-League,2025-02-25,Premier League,Matchweek 27,Away,Crystal Palace,L,2025-02-25_premier_league_crystal_palace,Aston Villa,Emiliano Martínez,ar ARG,32-176,45,3.0,1,2.0,66.7
2024-2025,Aston Villa 2024 2025,2025-02-25,Premier League,Crystal Palace,2025-02-25_premier_league_crystal_palace_goalkeeper_stats.csv,0a97629a,https://fbref.com/en/matches/0a97629a/Crystal-Palace-Aston-Villa-February-25-2025-Premier-League,2025-02-25,Premier League,Matchweek 27,Away,Crystal Palace,L,2025-02-25_premier_league_crystal_palace,Aston Villa,Robin Olsen,se SWE,35-048,45,3.0,3,0.0,0.0
2024-2025,Aston Villa 2024 2025,2025-02-28,Fa Cup,Cardiff City,2025-02-28_fa_cup_cardiff_city_goalkeeper_stats.csv,fb040a6a,https://fbref.com/en/matches/fb040a6a/Aston-Villa-Cardiff-City-February-28-2025-FA-Cup,2025-02-28,FA Cup,Fifth round proper,Home,Cardiff City,W,2025-02-28_fa_cup_cardiff_city,Aston Villa,Emiliano Martínez,ar ARG,32-179,90,1.0,0,1.0,100.0
2024-2025,Aston Villa 2024 2025,2025-03-04,Champions Lg,Beclub Brugge,2025-03-04_champions_lg_beclub_brugge_goalkeeper_stats.csv,e2019af7,https://fbref.com/en/matches/e2019af7/Club-Brugge-Aston-Villa-March-4-2025-Champions-League,2025-03-04,Champions Lg,Round of 16,Away,beClub Brugge,W,2025-03-04_champions_lg_beclub_brugge,Aston Villa,Emiliano Martínez,ar ARG,32-183,90,3.0,1,2.0,66.7
