team,appearances,minutesPlayed,assists,keyPasses,bigChancesCreated,accuratePasses,accurateLongBalls,successfulDribbles,tackles,interceptions,ballRecovery,goals,rating
Paris Saint-Germain,5,381,0,3,0,153,3,5,14,8,26,0,6.84
Atlético Madrid,8,711,0,0,0,275,28,1,6,8,32,0,6.84
Liverpool FC,6,332,0,0,0,200,13,0,4,5,14,0,6.83
FC Krasnodar,6,495,0,2,0,121,6,10,9,5,20,1,6.82
Lokomotiv Moscow,6,534,1,5,1,110,20,1,9,8,23,0,6.82
FC Porto,6,570,0,2,0,211,21,0,6,4,34,0,6.82
Borussia Dortmund,3,227,0,0,0,173,20,1,0,4,9,1,6.8
Inter,6,411,1,3,1,284,31,1,5,4,26,0,6.8
Lazio,8,720,1,9,0,201,8,6,10,12,41,0,6.8
Stade Rennais,1,17,0,0,0,3,0,0,0,0,1,0,6.8
Liverpool FC,2,174,0,0,0,108,8,0,4,0,10,0,6.8
Real Madrid,2,31,0,0,0,7,0,0,4,1,2,0,6.8
Manchester United,2,27,0,0,0,15,1,0,2,2,3,0,6.8
RB Leipzig,3,114,0,2,0,51,3,2,9,2,7,0,6.8
Olympiacos FC,3,189,0,0,0,92,4,0,5,1,10,0,6.8
Başakşehir FK,3,179,0,3,0,102,5,0,4,6,25,0,6.8
AFC Ajax,5,302,0,1,0,206,9,5,7,8,31,0,6.8
Atlético Madrid,8,384,0,2,0,165,4,4,11,8,24,0,6.8
Chelsea,10,775,0,9,3,306,15,4,11,15,44,1,6.79
Manchester United,5,450,0,2,0,295,20,1,4,5,25,0,6.78
Olympiacos FC,6,451,0,1,0,189,20,1,8,17,22,0,6.78
FC Barcelona,7,587,0,6,3,352,4,10,9,2,25,1,6.77
Red Bull Salzburg,6,540,1,2,1,322,19,0,8,12,39,0,6.77
FC Porto,6,419,0,0,0,138,11,0,2,6,17,0,6.77
Paris Saint-Germain,8,509,1,2,1,220,8,8,12,5,37,0,6.76
Atlético Madrid,5,382,0,0,0,77,8,0,10,7,21,0,6.76
Dynamo Kyiv,6,411,0,1,0,274,28,1,5,12,9,1,6.75
Lazio,2,135,0,0,0,60,7,0,2,2,10,0,6.75
Shakhtar Donetsk,4,298,0,2,0,130,3,1,10,11,10,0,6.75
Olympiacos FC,6,529,0,0,0,272,19,3,4,12,26,0,6.75
FC Midtjylland,5,450,0,4,2,163,8,3,6,20,29,0,6.74
Paris Saint-Germain,10,814,0,8,2,289,24,6,11,10,42,0,6.74
FC Bayern München,3,128,0,0,0,76,2,0,8,2,5,0,6.73
Lokomotiv Moscow,3,194,0,1,0,56,5,3,4,7,13,0,6.73
Liverpool FC,4,131,0,0,0,61,2,3,2,2,13,0,6.73
AFC Ajax,6,504,0,0,0,289,22,4,8,10,47,0,6.73
FC Bayern München,8,193,2,2,1,107,3,1,2,11,10,0,6.73
