team,appearances,minutesPlayed,goals,assists,shotsOnTarget,totalShots,bigChancesMissed,successfulDribbles,aerialDuelsWon,rating
Inter,6,202,0,0,2,4,0,3,0,6.72
Benfica,6,505,2,0,4,12,3,4,4,6.72
Sevilla,6,540,2,0,3,4,0,0,8,6.72
FC Porto,6,233,0,0,0,2,0,2,6,6.72
Lazio,7,263,0,0,2,4,0,1,1,6.71
Celtic,5,268,2,0,5,6,0,3,1,6.7
Royal Antwerp FC,5,358,1,0,6,11,1,6,0,6.7
Royal Antwerp FC,5,387,1,0,2,3,1,6,1,6.7
Borussia Dortmund,7,208,1,0,1,8,0,5,0,6.7
FC København,8,557,0,1,2,10,0,17,9,6.7
FC København,1,58,0,0,0,0,0,0,0,6.7
FC Barcelona,2,22,0,0,0,0,0,0,0,6.7
Manchester United,2,61,0,0,0,0,0,2,1,6.7
Feyenoord,2,35,0,0,0,0,0,1,0,6.7
Sevilla,4,215,0,0,0,0,0,3,5,6.7
FC København,7,481,0,0,1,6,1,3,11,6.7
Manchester United,3,108,0,0,1,3,1,2,1,6.7
FC København,6,45,0,0,0,1,0,2,0,6.7
FK Crvena zvezda,5,173,0,0,3,3,0,1,4,6.7
Manchester United,5,327,0,0,1,1,0,0,2,6.7
1. FC Union Berlin,3,124,0,0,1,1,0,0,0,6.7
Feyenoord,1,35,0,0,0,1,0,1,0,6.7
Lazio,5,156,0,0,1,1,0,2,0,6.7
RB Leipzig,7,168,0,0,0,2,0,9,1,6.69
RC Lens,5,224,1,0,1,5,1,0,3,6.68
1. FC Union Berlin,5,416,0,0,0,4,0,2,1,6.68
BSC Young Boys,6,164,0,0,0,4,0,3,2,6.68
Sevilla,4,247,0,0,1,4,0,5,0,6.68
Red Bull Salzburg,3,206,0,1,0,3,0,0,0,6.67
Royal Antwerp FC,3,263,0,0,0,0,0,4,0,6.67
Galatasaray,4,90,0,0,0,1,0,2,2,6.67
Lazio,3,136,0,0,0,2,0,0,0,6.67
Inter,5,322,0,1,2,7,2,4,4,6.66
Benfica,5,265,0,0,0,3,0,4,1,6.66
FK Crvena zvezda,4,299,1,0,2,2,0,1,6,6.65
RC Lens,2,99,0,0,0,0,0,0,0,6.65
Sevilla,2,82,0,0,0,2,0,1,0,6.65
Milan,5,352,0,0,1,2,0,5,1,6.64
Sporting Braga,3,31,0,0,0,0,0,0,0,6.63
Sevilla,6,373,0,0,0,1,0,0,5,6.63
RB Leipzig,4,277,0,0,0,1,0,1,1,6.63
1. FC Union Berlin,5,233,1,0,2,2,1,1,5,6.62
RB Leipzig,6,117,0,0,0,6,3,1,6,6.62
Celtic,6,310,0,0,0,1,0,8,5,6.62
FC Barcelona,7,348,0,0,0,1,0,2,4,6.61
Sevilla,6,320,0,1,0,0,0,4,5,6.6
Galatasaray,6,121,0,1,0,1,0,0,2,6.6
Shakhtar Donetsk,1,25,0,0,0,0,0,0,0,6.6
Milan,1,13,0,0,0,0,0,0,0,6.6
BSC Young Boys,1,20,0,0,0,0,0,0,0,6.6
Borussia Dortmund,2,20,0,0,0,0,0,1,1,6.6
SSC Napoli,2,100,0,0,0,0,0,1,2,6.6
Sevilla,3,186,0,0,1,1,0,0,1,6.6
Sporting Braga,2,55,0,0,0,2,0,1,0,6.6
SSC Napoli,4,69,0,0,0,1,1,2,0,6.6
1. FC Union Berlin,4,293,0,0,0,2,0,0,3,6.6
BSC Young Boys,3,57,0,0,1,1,0,0,1,6.6
Benfica,5,58,0,0,0,1,0,0,0,6.6
SSC Napoli,1,21,0,0,0,1,0,0,1,6.6
Arsenal,2,63,0,0,0,1,0,0,1,6.6
Red Bull Salzburg,4,78,0,0,0,3,0,0,0,6.58
Celtic,3,61,0,0,0,0,0,0,0,6.57
RC Lens,6,373,0,0,0,0,0,0,0,6.57
Feyenoord,5,204,0,1,0,3,0,2,0,6.56
SSC Napoli,6,164,0,0,0,0,0,1,1,6.56
Newcastle United,2,43,0,0,0,0,0,2,0,6.55
PSV Eindhoven,5,185,0,0,2,4,1,1,2,6.54
1. FC Union Berlin,5,358,0,0,1,4,1,2,8,6.54
FC Porto,3,47,0,0,0,0,0,0,6,6.53
RC Lens,3,113,0,0,0,0,0,2,0,6.53
Feyenoord,4,65,0,0,0,1,0,1,1,6.53
Shakhtar Donetsk,4,217,0,0,1,7,2,6,2,6.53
Arsenal,1,10,0,0,0,0,0,0,0,6.5
FK Crvena zvezda,1,8,0,0,0,0,0,0,0,6.5
FK Crvena zvezda,1,12,0,0,0,0,0,0,0,6.5
Red Bull Salzburg,1,8,0,0,0,0,0,0,0,6.5
Sevilla,2,81,0,0,0,0,0,0,1,6.5
Sevilla,3,108,0,0,0,0,0,0,0,6.5
Celtic,3,93,0,0,0,1,0,0,1,6.5
Real Sociedad,1,13,0,0,1,1,0,0,0,6.5
Real Sociedad,1,10,0,0,0,1,0,0,0,6.5
FK Crvena zvezda,6,488,0,0,2,3,0,2,3,6.5
Sporting Braga,1,8,0,0,0,1,0,1,1,6.5
Shakhtar Donetsk,5,391,0,0,2,4,0,3,3,6.48
Paris Saint-Germain,8,392,0,0,0,4,0,1,3,6.48
Benfica,2,31,0,0,0,0,0,1,0,6.45
1. FC Union Berlin,6,134,0,0,0,3,1,1,2,6.45
RC Lens,3,135,0,0,0,0,0,1,0,6.43
Newcastle United,3,162,0,0,0,2,0,0,1,6.43
Shakhtar Donetsk,1,90,0,0,0,0,0,0,0,6.4
Arsenal,1,62,0,0,0,0,0,0,0,6.4
Paris Saint-Germain,2,11,0,0,0,0,0,0,0,6.4
Galatasaray,2,61,0,0,0,0,0,0,2,6.4
Shakhtar Donetsk,2,12,0,0,0,0,0,0,0,6.4
Newcastle United,2,100,0,0,1,2,0,0,0,6.4
1. FC Union Berlin,1,13,0,0,0,0,0,0,0,6.3
Celtic,2,39,0,0,0,0,0,0,0,6.3
FC København,1,69,0,0,0,1,0,0,1,6.3
FC København,5,108,0,0,3,4,2,0,4,6.25
Manchester City,1,14,0,0,0,0,0,0,0,6.2
Inter,4,89,0,0,0,0,0,0,0,6.2
SSC Napoli,1,11,0,0,0,1,0,1,0,6.2
Benfica,3,111,0,0,0,0,0,0,0,6.1
Royal Antwerp FC,4,277,0,0,0,1,0,1,2,6.1
FC Porto,1,64,0,0,0,0,0,1,0,6.0
PSV Eindhoven,2,25,0,0,0,0,0,0,0,5.5
Celtic,2,55,0,0,0,0,0,2,1,5.5
Manchester City,1,2,0,0,0,0,0,0,0,0.0
Sporting Braga,1,2,0,0,0,2,0,0,0,0.0
Manchester City,7,278,5,2,10,15,1,6,1,8.07
Atlético Madrid,10,822,6,1,10,22,3,5,9,7.84
Arsenal,9,725,4,4,6,13,0,10,3,7.71
Paris Saint-Germain,12,1080,8,0,27,51,10,36,4,7.69
Real Madrid,10,901,6,4,13,30,4,37,3,7.66
FC Bayern München,12,1065,8,4,17,36,3,4,24,7.62
FC Porto,7,546,2,2,9,22,1,3,11,7.53
FC Porto,7,491,4,1,7,14,0,5,9,7.41
PSV Eindhoven,2,166,0,0,4,9,1,13,1,7.4
PSV Eindhoven,8,653,1,1,10,24,1,20,4,7.36
Paris Saint-Germain,11,954,2,1,10,33,6,23,3,7.35
Sporting Braga,5,371,2,1,5,12,0,11,0,7.34
Arsenal,8,413,4,3,8,15,4,11,9,7.3
Galatasaray,2,37,1,0,3,7,0,0,0,7.3
Borussia Dortmund,12,789,2,2,6,19,2,11,7,7.25
Sporting Braga,6,503,0,2,6,17,0,4,0,7.25
Milan,5,443,1,0,4,11,2,18,6,7.24
FC Barcelona,9,736,3,1,10,22,2,2,26,7.23
Real Madrid,11,293,5,0,9,30,3,0,17,7.23
SSC Napoli,8,672,0,1,3,17,1,29,5,7.23
Manchester City,9,778,6,1,22,43,12,3,11,7.21
FC Barcelona,8,375,3,1,4,11,0,4,4,7.19
Shakhtar Donetsk,6,479,4,0,7,11,1,6,17,7.18
Manchester United,6,489,5,0,6,11,1,5,9,7.15
PSV Eindhoven,7,627,3,0,7,23,2,0,30,7.14
Arsenal,6,484,2,1,5,10,2,20,3,7.13
Sporting Braga,6,397,0,1,1,6,0,6,2,7.13
Real Madrid,13,1022,5,2,19,38,8,18,3,7.13
Milan,2,30,0,0,1,5,0,0,2,7.1
Arsenal,9,533,4,1,6,9,1,4,1,7.07
Galatasaray,6,519,2,0,6,21,6,1,16,7.07
Lazio,6,464,0,0,3,7,0,8,3,7.07
RB Leipzig,8,558,4,0,9,29,3,10,2,7.06
FC Porto,7,644,1,2,2,9,1,10,6,7.06
Feyenoord,4,70,1,0,2,3,0,1,1,7.05
Newcastle United,3,87,0,1,0,2,0,0,0,7.05
Red Bull Salzburg,6,340,1,1,4,8,0,3,11,7.04
Lazio,5,243,0,1,3,8,1,8,3,7.04
Borussia Dortmund,8,459,1,0,11,23,1,7,3,7.04
Atlético Madrid,3,102,1,0,3,7,2,3,2,7.03
Royal Antwerp FC,4,153,0,0,0,3,0,18,1,7.03
Sporting Braga,6,341,0,1,1,14,1,5,22,7.02
FC Bayern München,8,145,2,1,2,8,1,11,0,7.01
Borussia Dortmund,13,1041,3,3,11,35,10,2,54,7.01
1. FC Union Berlin,4,198,1,0,4,8,1,5,8,7.0
Real Sociedad,6,426,2,0,7,11,2,0,2,6.98
Lazio,8,507,4,0,5,10,2,6,7,6.98
FC Barcelona,9,373,3,1,7,17,2,7,2,6.97
Galatasaray,6,441,2,0,6,18,4,3,3,6.97
RC Lens,6,468,0,1,2,9,1,2,19,6.97
PSV Eindhoven,5,158,1,1,1,5,1,4,1,6.95
BSC Young Boys,2,127,1,0,1,6,0,1,0,6.95
Benfica,4,125,1,0,1,3,0,1,5,6.95
1. FC Union Berlin,5,301,0,0,2,6,1,1,10,6.94
Milan,4,171,2,0,4,9,2,5,1,6.93
Sevilla,6,514,2,0,5,10,2,1,16,6.92
Real Sociedad,7,588,2,0,9,10,4,2,6,6.91
Atlético Madrid,10,667,5,1,10,25,7,3,12,6.91
Inter,8,334,2,0,3,3,0,2,5,6.9
FC Barcelona,2,33,1,0,1,2,0,0,0,6.9
Shakhtar Donetsk,3,19,1,0,1,2,0,0,0,6.9
Real Sociedad,2,92,0,0,1,4,0,2,2,6.9
Feyenoord,1,11,0,0,1,1,0,0,0,6.9
Inter,8,457,1,0,2,9,2,12,13,6.89
Sporting Braga,5,409,2,0,4,9,2,9,3,6.88
Feyenoord,4,349,2,1,6,11,4,4,3,6.88
FC Porto,8,252,1,1,3,7,0,5,0,6.87
SSC Napoli,6,460,2,0,6,16,3,5,13,6.87
Lazio,8,195,2,0,3,4,0,5,0,6.86
Borussia Dortmund,12,709,2,1,8,15,1,13,5,6.86
Inter,8,531,2,0,12,34,5,4,13,6.85
BSC Young Boys,4,283,1,0,5,8,0,0,8,6.85
Milan,6,440,1,0,4,10,1,6,2,6.85
BSC Young Boys,4,163,0,1,1,4,1,0,4,6.85
Newcastle United,6,439,0,0,2,6,1,4,2,6.85
PSV Eindhoven,8,132,1,1,2,5,1,0,4,6.84
Atlético Madrid,10,322,1,0,8,16,4,9,2,6.83
SSC Napoli,6,93,1,0,2,7,0,1,2,6.83
FC København,4,144,1,0,1,4,1,6,0,6.83
FK Crvena zvezda,6,360,1,0,6,9,2,5,11,6.82
PSV Eindhoven,7,378,0,0,5,16,0,7,4,6.81
Royal Antwerp FC,6,411,1,0,4,12,0,2,3,6.8
Manchester United,4,290,0,2,1,3,0,9,3,6.8
Red Bull Salzburg,2,66,0,0,0,2,0,1,0,6.8
Paris Saint-Germain,10,484,1,1,6,16,4,19,3,6.79
SSC Napoli,8,256,1,0,1,9,0,2,1,6.79
RC Lens,6,460,2,1,3,14,0,5,2,6.78
Benfica,6,231,0,0,3,7,2,8,7,6.78
Borussia Dortmund,4,60,1,0,1,1,0,0,4,6.78
Arsenal,10,832,1,0,3,11,2,3,28,6.77
Milan,3,47,0,1,1,2,0,1,0,6.77
Red Bull Salzburg,6,211,0,0,3,8,0,0,13,6.77
Feyenoord,5,148,0,0,3,10,1,0,3,6.76
BSC Young Boys,6,500,2,0,3,7,1,6,1,6.73
Inter,4,193,2,0,3,7,3,2,4,6.73
Newcastle United,5,312,1,0,3,6,1,2,3,6.72
Arsenal,6,141,1,0,2,5,0,1,1,6.72
Sporting Braga,6,217,0,0,2,7,1,0,2,6.72
RB Leipzig,7,338,0,1,3,6,0,4,4,6.7
Red Bull Salzburg,1,35,0,0,1,3,0,1,2,6.7
RC Lens,3,52,0,0,0,3,0,1,1,6.7
Milan,6,512,1,1,7,13,4,0,15,6.68
Paris Saint-Germain,10,484,1,0,2,8,2,7,6,6.68
FC Bayern München,5,60,0,0,2,4,1,1,2,6.68
Royal Antwerp FC,6,161,1,0,1,2,0,1,1,6.67
Sevilla,3,60,0,0,1,3,0,0,2,6.67
Benfica,3,177,0,0,1,4,0,2,0,6.67
Lazio,7,213,0,0,1,7,1,0,10,6.66
Benfica,4,145,0,1,1,2,0,0,2,6.65
Paris Saint-Germain,7,225,0,0,1,9,2,0,0,6.64
Celtic,6,452,2,0,5,10,2,1,0,6.63
RB Leipzig,4,46,0,0,0,1,0,0,0,6.63
FC København,3,79,0,0,1,1,1,0,6,6.63
RB Leipzig,8,403,2,0,8,15,4,5,8,6.63
Red Bull Salzburg,4,146,0,0,2,5,2,0,2,6.63
Galatasaray,5,230,1,0,1,3,1,4,7,6.6
FC København,6,143,0,1,0,0,0,0,3,6.6
FK Crvena zvezda,4,108,0,1,1,3,1,2,5,6.6
FC Porto,3,38,0,0,0,0,0,1,0,6.6
Real Sociedad,4,100,0,0,1,1,0,4,0,6.6
BSC Young Boys,6,108,0,0,1,7,2,2,7,6.58
Red Bull Salzburg,5,237,0,0,3,11,2,4,2,6.58
Celtic,4,209,0,0,0,0,0,4,3,6.58
Borussia Dortmund,4,22,0,0,0,0,0,1,1,6.55
FK Crvena zvezda,4,115,0,0,0,4,1,2,0,6.55
Manchester United,2,97,0,0,1,4,0,0,0,6.55
Benfica,3,34,0,0,1,1,0,1,0,6.55
Celtic,5,108,0,0,1,3,0,2,4,6.54
Manchester United,6,300,1,0,3,8,3,4,1,6.53
RC Lens,4,69,0,0,1,3,1,0,1,6.53
FC Porto,1,14,0,0,0,0,0,0,0,6.5
FC Porto,2,12,0,0,0,0,0,0,2,6.5
Feyenoord,2,21,0,0,0,1,0,1,0,6.5
FK Crvena zvezda,3,212,0,0,1,5,0,3,0,6.47
Shakhtar Donetsk,5,131,1,0,1,2,0,0,3,6.45
FC Porto,3,21,0,0,0,0,0,0,0,6.45
Real Sociedad,4,70,0,0,0,1,1,0,5,6.45
Royal Antwerp FC,3,39,0,0,0,0,0,0,0,6.43
Sevilla,2,36,0,0,1,1,0,0,2,6.4
RB Leipzig,3,121,0,0,1,4,0,1,1,6.37
Real Sociedad,4,131,0,0,1,1,0,0,1,6.37
Newcastle United,4,237,0,0,3,6,3,0,4,6.35
Royal Antwerp FC,5,207,0,0,1,3,1,3,1,6.28
Celtic,4,285,0,1,1,5,0,8,4,6.08
Newcastle United,1,1,0,0,0,0,0,0,0,0.0
SSC Napoli,1,1,0,0,0,0,0,0,0,0.0
