model,threshold,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,alerts,alert_rate
Model C,0.34,0.4374636416521233,0.8826291079812206,0.5849863866199922,0.6493459549567939,689,967,100,752,1719,0.6854066985645934
Model C,0.35,0.44220509780675754,0.8755868544600939,0.5876329263489563,0.6536750697421242,715,941,106,746,1687,0.6726475279106858
Model C,0.36,0.45051608986035213,0.8708920187793427,0.5938375350140056,0.6621972171191399,751,905,110,742,1647,0.6566985645933014
Model C,0.37,0.4536979490366687,0.8568075117370892,0.5932547744819179,0.6630052051439069,777,879,122,730,1609,0.6415470494417863
Model C,0.38,0.4614894971355824,0.8509389671361502,0.5984316962443252,0.6700347009593794,810,846,127,725,1571,0.6263955342902712
Model C,0.39,0.4652230971128609,0.8321596244131455,0.5968013468013468,0.6700049329795197,841,815,143,709,1524,0.6076555023923444
Model C,0.4,0.46987951807228917,0.823943661971831,0.59846547314578,0.6728413962033069,864,792,150,702,1494,0.5956937799043063
Model C,0.41,0.4728148657949071,0.8063380281690141,0.5960954446854664,0.6718888208477921,890,766,165,687,1453,0.5793460925039873
Model C,0.42,0.47712878254750174,0.795774647887324,0.5965684117905852,0.6735515751513914,913,743,174,678,1421,0.5665869218500797
Model C,0.43,0.48554913294797686,0.7887323943661971,0.6010733452593918,0.6793903517724705,944,712,180,672,1384,0.5518341307814992
Model C,0.44,0.49041297935103245,0.7805164319248826,0.6023550724637681,0.6816229502619582,965,691,187,665,1356,0.5406698564593302
Model C,0.45,0.5019011406844106,0.7746478873239436,0.6091370558375635,0.68955824317888,1001,655,192,660,1315,0.5243221690590112
Model C,0.46,0.5098347757671126,0.7605633802816901,0.610456900612341,0.6921778254065456,1033,623,204,648,1271,0.5067783094098883
Model C,0.47,0.5165991902834008,0.7488262910798122,0.6114039290848108,0.6941595223515002,1059,597,214,638,1235,0.49242424242424243
Model C,0.48,0.5208333333333334,0.7335680751173709,0.6091617933723197,0.6931729264475743,1081,575,227,625,1200,0.4784688995215311
Model C,0.49,0.5282534246575342,0.7241784037558685,0.6108910891089109,0.6957244675784173,1105,551,235,617,1168,0.46570972886762363
Model C,0.5,0.5299823633156967,0.7053990610328639,0.6052366565961732,0.6917695788256106,1123,533,251,601,1134,0.45215311004784686
Model C,0.51,0.5384615384615384,0.6983568075117371,0.6080735820132857,0.6951928965094918,1146,510,257,595,1105,0.4405901116427432
Model C,0.52,0.5478424015009381,0.6854460093896714,0.6089676746611054,0.6971916037286521,1174,482,268,584,1066,0.42503987240829344
Model C,0.53,0.5527589545014521,0.67018779342723,0.6058355437665782,0.6956011430904265,1194,462,281,571,1033,0.41188197767145135
Model C,0.54,0.5599194360523666,0.6525821596244131,0.602710027100271,0.6943466353677621,1219,437,296,556,993,0.39593301435406697
Model C,0.55,0.5729166666666666,0.6455399061032864,0.6070640176600441,0.6989776825202423,1246,410,302,550,960,0.3827751196172249
Model C,0.56,0.5768398268398268,0.6255868544600939,0.6002252252252253,0.6947378716744914,1265,391,319,533,924,0.3684210526315789
Model C,0.57,0.5818385650224215,0.6091549295774648,0.5951834862385321,0.6919566918418725,1283,373,333,519,892,0.35566188197767146
Model C,0.58,0.5893491124260355,0.5845070422535211,0.5869180907483795,0.6874829897257944,1309,347,354,498,845,0.3369218500797448
Model C,0.59,0.5967940813810111,0.568075117370892,0.582080577269994,0.685305674627475,1329,327,368,484,811,0.3233652312599681
Model C,0.6,0.6012987012987013,0.5434272300469484,0.5709001233045623,0.6790203783084983,1349,307,389,463,770,0.30701754385964913
Model C,0.61,0.6097560975609756,0.528169014084507,0.5660377358490566,0.6771279853031231,1368,288,402,450,738,0.2942583732057416
Model C,0.62,0.6318840579710145,0.5117370892018779,0.5654993514915694,0.6791777233449003,1402,254,416,436,690,0.2751196172248804
