model,threshold,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,alerts,alert_rate
Model B,0.38,0.4419073203492277,0.8371501272264631,0.5784615384615385,0.6772858650069598,891,831,128,658,1489,0.5937001594896332
Model B,0.39,0.44713199723566,0.8231552162849872,0.5794894760412002,0.6792895709764077,922,800,139,647,1447,0.5769537480063796
Model B,0.4,0.4555956678700361,0.8027989821882952,0.5812989405803777,0.6824680160651115,968,754,155,631,1385,0.5522328548644339
Model B,0.41,0.46439169139465875,0.7964376590330788,0.5866916588566073,0.6885788759741469,1000,722,160,626,1348,0.5374800637958532
Model B,0.42,0.4708588957055215,0.7811704834605598,0.5875598086124402,0.6902368096745308,1032,690,172,614,1304,0.5199362041467305
Model B,0.43,0.4785714285714286,0.767175572519084,0.5894428152492669,0.6928212357368939,1065,657,183,603,1260,0.5023923444976076
Model B,0.44,0.4864420706655711,0.7531806615776081,0.5911133300049926,0.6951153017527993,1097,625,194,592,1217,0.4852472089314195
Model B,0.45,0.4920100925147183,0.7442748091603053,0.5924050632911393,0.6967599365197578,1118,604,201,585,1189,0.4740829346092504
Model B,0.46,0.4939236111111111,0.7239185750636132,0.587203302373581,0.6926793804470215,1139,583,217,569,1152,0.45933014354066987
Model B,0.47,0.49818840579710144,0.6997455470737913,0.582010582010582,0.6890133077993812,1168,554,236,550,1104,0.44019138755980863
Model B,0.48,0.4962264150943396,0.6692111959287532,0.5698808234019501,0.6795533331560142,1188,534,260,526,1060,0.4226475279106858
Model B,0.49,0.5029411764705882,0.6526717557251909,0.5681063122923588,0.6791233343085885,1215,507,273,513,1020,0.40669856459330145
Model B,0.5,0.5127942681678608,0.6374045801526718,0.5683494044242768,0.6804909079625148,1246,476,285,501,977,0.38955342902711326
Model B,0.51,0.5212765957446809,0.6234096692111959,0.5677867902665121,0.6810428136996747,1272,450,296,490,940,0.3748006379585327
Model B,0.52,0.5296752519596865,0.6017811704834606,0.5634306134603931,0.6789393657295352,1302,420,313,473,893,0.3560606060606061
Model B,0.53,0.5357561547479485,0.5814249363867684,0.5576571079926784,0.6757298897961717,1326,396,329,457,853,0.3401116427432217
Model B,0.54,0.5417690417690417,0.5610687022900763,0.55125,0.6722300538163506,1349,373,345,441,814,0.32456140350877194
Model B,0.55,0.55627425614489,0.5470737913486005,0.5516356638871072,0.6739433997393409,1379,343,356,430,773,0.30821371610845294
Model B,0.56,0.5641711229946524,0.5368956743002544,0.5501955671447197,0.6737904620049472,1396,326,364,422,748,0.2982456140350877
Model B,0.57,0.5674157303370787,0.5139949109414759,0.5393858477970628,0.6675665611617949,1414,308,382,404,712,0.2838915470494418
Model B,0.58,0.5712187958883994,0.494910941475827,0.5303340149965917,0.6626703371722921,1430,292,397,389,681,0.2715311004784689
Model B,0.59,0.5789473684210527,0.4758269720101781,0.5223463687150838,0.6589355533686199,1450,272,412,374,646,0.25757575757575757
Model B,0.6,0.5792079207920792,0.44656488549618323,0.5043103448275862,0.6492406309014017,1467,255,435,351,606,0.24162679425837322
Model B,0.61,0.5862676056338029,0.42366412213740456,0.4918759231905465,0.6435974501511645,1487,235,453,333,568,0.22647527910685805
Model B,0.62,0.591337099811676,0.3994910941475827,0.4768413059984814,0.6367374169924905,1505,217,472,314,531,0.2117224880382775
Model B,0.63,0.5964214711729622,0.3816793893129771,0.46547711404189296,0.6318966052255942,1519,203,486,300,503,0.20055821371610846
