season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Diogo Jota,20,pt POR,FW,27-272,75,0,0,0,0,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Darwin Núñez,9,uy URU,FW,25-069,15,0,0,0,0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Luis Díaz,7,co COL,AM,27-232,65,2,0,0,0,2.0,2.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Cody Gakpo,18,nl NED,"FW,MF",25-117,25,0,0,0,0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Dominik Szoboszlai,8,hu HUN,AM,23-312,90,0,1,0,0,1.0,0.0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Mohamed Salah,11,eg EGY,AM,32-078,90,1,2,0,0,3.0,1.0,0,0,0.0,2.0,2.0,1.0,1.0,1.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Alexis Mac Allister,10,ar ARG,DM,25-252,90,0,0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,5.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Ryan Gravenberch,38,nl NED,DM,22-108,90,0,0,0,0,0.0,0.0,0,0,1.0,3.0,0.0,0.0,2.0,4.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Andrew Robertson,26,sct SCO,LB,30-174,82,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Kostas Tsimikas,21,gr GRE,DF,28-112,8,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Virgil van Dijk,4,nl NED,CB,33-055,90,0,0,0,0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,2.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Ibrahima Konaté,5,fr FRA,CB,25-099,90,0,0,0,0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Trent Alexander-Arnold,66,eng ENG,RB,25-330,75,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3.0,1.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Conor Bradley,84,nir NIR,"DF,MF",21-054,15,0,0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-01,Premier League,Manchester Utd,2024-09-01_premier_league_manchester_utd_player_stats.csv,a7ab7a12,https://fbref.com/en/matches/a7ab7a12/North-West-Derby-Manchester-United-Liverpool-September-1-2024-Premier-League,2024-09-01,Premier League,Matchweek 3,Away,Manchester Utd,W,2024-09-01_premier_league_manchester_utd,Liverpool,Alisson,1,br BRA,GK,31-335,90,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-14,Premier League,Nottingham Forest,2024-09-14_premier_league_nottingham_forest_player_stats.csv,674bfe9e,https://fbref.com/en/matches/674bfe9e/Liverpool-Nottingham-Forest-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Nottingham Forest,L,2024-09-14_premier_league_nottingham_forest,Liverpool,Diogo Jota,20,pt POR,FW,27-285,59,0,0,0,0,3.0,1.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-14,Premier League,Nottingham Forest,2024-09-14_premier_league_nottingham_forest_player_stats.csv,674bfe9e,https://fbref.com/en/matches/674bfe9e/Liverpool-Nottingham-Forest-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Nottingham Forest,L,2024-09-14_premier_league_nottingham_forest,Liverpool,Darwin Núñez,9,uy URU,FW,25-082,31,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-14,Premier League,Nottingham Forest,2024-09-14_premier_league_nottingham_forest_player_stats.csv,674bfe9e,https://fbref.com/en/matches/674bfe9e/Liverpool-Nottingham-Forest-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Nottingham Forest,L,2024-09-14_premier_league_nottingham_forest,Liverpool,Luis Díaz,7,co COL,AM,27-245,59,0,0,0,0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-14,Premier League,Nottingham Forest,2024-09-14_premier_league_nottingham_forest_player_stats.csv,674bfe9e,https://fbref.com/en/matches/674bfe9e/Liverpool-Nottingham-Forest-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Nottingham Forest,L,2024-09-14_premier_league_nottingham_forest,Liverpool,Cody Gakpo,18,nl NED,"FW,MF",25-130,31,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-14,Premier League,Nottingham Forest,2024-09-14_premier_league_nottingham_forest_player_stats.csv,674bfe9e,https://fbref.com/en/matches/674bfe9e/Liverpool-Nottingham-Forest-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Nottingham Forest,L,2024-09-14_premier_league_nottingham_forest,Liverpool,Dominik Szoboszlai,8,hu HUN,AM,23-325,90,0,0,0,0,2.0,0.0,1,0,3.0,1.0,0.0,3.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-14,Premier League,Nottingham Forest,2024-09-14_premier_league_nottingham_forest_player_stats.csv,674bfe9e,https://fbref.com/en/matches/674bfe9e/Liverpool-Nottingham-Forest-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Nottingham Forest,L,2024-09-14_premier_league_nottingham_forest,Liverpool,Mohamed Salah,11,eg EGY,AM,32-091,90,0,0,0,0,3.0,2.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-09-14,Premier League,Nottingham Forest,2024-09-14_premier_league_nottingham_forest_player_stats.csv,674bfe9e,https://fbref.com/en/matches/674bfe9e/Liverpool-Nottingham-Forest-September-14-2024-Premier-League,2024-09-14,Premier League,Matchweek 4,Home,Nottingham Forest,L,2024-09-14_premier_league_nottingham_forest,Liverpool,Alexis Mac Allister,10,ar ARG,DM,25-265,59,0,0,0,0,1.0,1.0,0,0,2.0,2.0,0.0,0.0,1.0,0.0,0,,
