Season,Season_Label,Team,Fixture_Date,Players_Missing_Total,Players_Missing_Injury,Players_Missing_Non_Injury,Soft_Tissue_Missing,Max_Reported_Days_Out,Mean_Reported_Days_Out
2023-2024,2023/24,Liverpool,2023-12-26,6,6,0,1,268,132.7
2023-2024,2023/24,Manchester United,2023-12-26,9,9,0,3,278,187.6
2023-2024,2023/24,Aston Villa,2023-12-26,7,5,2,1,280,134.3
2023-2024,2023/24,Brentford,2023-12-27,9,6,3,2,238,136.4
2023-2024,2023/24,Wolves,2023-12-27,1,1,0,0,48,48.0
2023-2024,2023/24,Chelsea,2023-12-27,10,8,2,3,279,169.5
2023-2024,2023/24,Crystal Palace,2023-12-27,6,6,0,3,168,114.2
2023-2024,2023/24,Everton,2023-12-27,2,2,0,1,281,163.0
2023-2024,2023/24,Manchester City,2023-12-27,1,1,0,1,130,130.0
2023-2024,2023/24,Brighton,2023-12-28,7,7,0,2,230,130.4
2023-2024,2023/24,Tottenham,2023-12-28,9,8,1,3,280,148.8
2023-2024,2023/24,Arsenal,2023-12-28,5,4,1,3,250,126.2
2023-2024,2023/24,West Ham,2023-12-28,1,1,0,0,77,77.0
2023-2024,2023/24,Luton,2023-12-30,4,4,0,0,281,212.8
2023-2024,2023/24,Chelsea,2023-12-30,7,7,0,3,279,213.0
2023-2024,2023/24,Crystal Palace,2023-12-30,5,5,0,3,168,134.8
2023-2024,2023/24,Brentford,2023-12-30,9,7,2,2,238,131.6
2023-2024,2023/24,Wolves,2023-12-30,1,1,0,0,48,48.0
2023-2024,2023/24,Everton,2023-12-30,3,3,0,1,281,129.3
2023-2024,2023/24,Manchester City,2023-12-30,3,3,0,0,146,64.7
2023-2024,2023/24,Sheffield Utd,2023-12-30,7,4,3,1,258,176.9
2023-2024,2023/24,Aston Villa,2023-12-30,7,6,1,2,280,115.6
2023-2024,2023/24,Burnley,2023-12-30,3,3,0,0,139,65.0
2023-2024,2023/24,Nottingham Forest,2023-12-30,4,3,1,3,155,106.0
2023-2024,2023/24,Manchester United,2023-12-30,8,8,0,4,278,191.6
2023-2024,2023/24,Fulham,2023-12-31,2,2,0,2,102,54.5
2023-2024,2023/24,Arsenal,2023-12-31,3,3,0,2,250,126.3
2023-2024,2023/24,Tottenham,2023-12-31,8,6,2,3,280,133.1
2023-2024,2023/24,Bournemouth,2023-12-31,7,7,0,3,281,103.3
2023-2024,2023/24,Liverpool,2024-01-01,5,5,0,1,268,150.4
2023-2024,2023/24,Newcastle,2024-01-01,10,9,1,3,280,151.5
2023-2024,2023/24,West Ham,2024-01-02,3,3,0,0,106,71.0
2023-2024,2023/24,Brighton,2024-01-02,9,8,1,3,230,114.1
2023-2024,2023/24,Burnley,2024-01-12,4,3,1,0,139,67.0
2023-2024,2023/24,Luton,2024-01-12,3,2,1,0,161,150.0
2023-2024,2023/24,Chelsea,2024-01-13,8,7,1,2,279,195.1
2023-2024,2023/24,Fulham,2024-01-13,4,1,3,1,102,43.8
2023-2024,2023/24,Newcastle,2024-01-13,9,8,1,3,280,172.1
2023-2024,2023/24,Manchester City,2024-01-13,3,3,0,0,146,85.3
2023-2024,2023/24,Everton,2024-01-14,2,1,1,1,281,163.0
2023-2024,2023/24,Aston Villa,2024-01-14,6,5,1,1,280,103.0
2023-2024,2023/24,Manchester United,2024-01-14,2,1,1,1,158,148.0
2023-2024,2023/24,Tottenham,2024-01-14,9,6,3,2,225,102.3
2023-2024,2023/24,Arsenal,2024-01-20,5,3,2,2,250,160.4
2023-2024,2023/24,Crystal Palace,2024-01-20,5,4,1,2,210,124.0
2023-2024,2023/24,Brentford,2024-01-20,8,5,3,1,238,113.1
2023-2024,2023/24,Nottingham Forest,2024-01-20,9,3,6,3,155,78.6
2023-2024,2023/24,Sheffield Utd,2024-01-21,6,4,2,1,258,168.8
2023-2024,2023/24,West Ham,2024-01-21,4,2,2,1,106,71.8
2023-2024,2023/24,Bournemouth,2024-01-21,8,5,3,2,281,68.2
2023-2024,2023/24,Liverpool,2024-01-21,8,6,2,1,268,130.2
2023-2024,2023/24,Brighton,2024-01-22,6,4,2,1,230,107.8
2023-2024,2023/24,Wolves,2024-01-22,5,1,4,0,70,26.0
2023-2024,2023/24,Nottingham Forest,2024-01-30,8,1,7,1,183,84.9
2023-2024,2023/24,Arsenal,2024-01-30,5,3,2,2,250,160.4
2023-2024,2023/24,Luton,2024-01-30,4,3,1,1,211,165.2
2023-2024,2023/24,Brighton,2024-01-30,6,4,2,1,230,107.8
2023-2024,2023/24,Fulham,2024-01-30,4,1,3,0,28,19.0
2023-2024,2023/24,Everton,2024-01-30,4,3,1,3,281,131.2
2023-2024,2023/24,Crystal Palace,2024-01-30,3,3,0,1,168,125.3
2023-2024,2023/24,Sheffield Utd,2024-01-30,5,4,1,1,258,241.0
2023-2024,2023/24,Aston Villa,2024-01-30,6,5,1,1,280,108.2
2023-2024,2023/24,Newcastle,2024-01-30,6,5,1,1,280,191.8
2023-2024,2023/24,Manchester City,2024-01-31,0,0,0,0,0,0.0
2023-2024,2023/24,Burnley,2024-01-31,3,3,0,1,232,139.0
2023-2024,2023/24,Tottenham,2024-01-31,6,3,3,1,280,127.7
2023-2024,2023/24,Brentford,2024-01-31,8,4,4,1,238,108.0
2023-2024,2023/24,Liverpool,2024-01-31,6,5,1,2,268,125.3
2023-2024,2023/24,Chelsea,2024-01-31,8,7,1,2,279,173.6
2023-2024,2023/24,West Ham,2024-02-01,3,2,1,1,106,71.0
2023-2024,2023/24,Bournemouth,2024-02-01,6,5,1,3,281,106.5
2023-2024,2023/24,Wolves,2024-02-01,2,0,2,0,70,41.0
2023-2024,2023/24,Manchester United,2024-02-01,3,2,1,0,278,179.3
2023-2024,2023/24,Everton,2024-02-03,2,2,0,2,281,221.0
2023-2024,2023/24,Tottenham,2024-02-03,4,2,2,1,280,183.0
2023-2024,2023/24,Burnley,2024-02-03,5,5,0,2,232,74.2
2023-2024,2023/24,Fulham,2024-02-03,5,3,2,2,208,67.4
2023-2024,2023/24,Brighton,2024-02-03,6,4,2,0,230,118.2
2023-2024,2023/24,Crystal Palace,2024-02-03,2,2,0,0,168,168.0
2023-2024,2023/24,Newcastle,2024-02-03,5,4,1,1,215,174.2
2023-2024,2023/24,Luton,2024-02-03,3,3,0,1,211,166.7
2023-2024,2023/24,Sheffield Utd,2024-02-03,4,4,0,1,258,240.0
2023-2024,2023/24,Aston Villa,2024-02-03,7,6,1,1,280,83.4
2023-2024,2023/24,Chelsea,2024-02-04,6,6,0,2,279,196.2
2023-2024,2023/24,Wolves,2024-02-04,2,0,2,0,70,41.0
2023-2024,2023/24,Bournemouth,2024-02-04,6,6,0,3,281,104.7
2023-2024,2023/24,Nottingham Forest,2024-02-04,4,1,3,1,117,79.8
2023-2024,2023/24,Manchester United,2024-02-04,2,2,0,0,278,200.0
2023-2024,2023/24,West Ham,2024-02-04,2,2,0,1,106,91.5
2023-2024,2023/24,Arsenal,2024-02-04,4,3,1,2,250,157.8
2023-2024,2023/24,Liverpool,2024-02-04,5,4,1,2,189,96.8
2023-2024,2023/24,Brentford,2024-02-05,7,4,3,1,238,115.0
2023-2024,2023/24,Manchester City,2024-02-05,0,0,0,0,0,0.0
2023-2024,2023/24,Manchester City,2024-02-10,0,0,0,0,0,0.0
2023-2024,2023/24,Everton,2024-02-10,2,2,0,2,281,221.0
2023-2024,2023/24,Wolves,2024-02-10,0,0,0,0,0,0.0
2023-2024,2023/24,Brentford,2024-02-10,7,5,2,1,238,134.7
2023-2024,2023/24,Fulham,2024-02-10,4,2,2,1,109,58.8
2023-2024,2023/24,Bournemouth,2024-02-10,6,5,1,3,281,104.7
2023-2024,2023/24,Tottenham,2024-02-10,2,2,0,1,280,252.5
2023-2024,2023/24,Brighton,2024-02-10,5,4,1,1,230,125.8
2023-2024,2023/24,Liverpool,2024-02-10,7,6,1,3,268,111.6
2023-2024,2023/24,Burnley,2024-02-10,4,4,0,2,232,92.8
2023-2024,2023/24,Luton,2024-02-10,3,3,0,1,211,166.7
2023-2024,2023/24,Sheffield Utd,2024-02-10,5,5,0,1,258,192.0
2023-2024,2023/24,Nottingham Forest,2024-02-10,5,2,3,2,147,97.2
2023-2024,2023/24,Newcastle,2024-02-10,7,6,1,2,280,179.4
2023-2024,2023/24,West Ham,2024-02-11,1,1,0,0,77,77.0
2023-2024,2023/24,Arsenal,2024-02-11,4,4,0,2,250,149.0
2023-2024,2023/24,Aston Villa,2024-02-11,4,4,0,0,280,149.0
2023-2024,2023/24,Manchester United,2024-02-11,4,4,0,0,278,195.8
2023-2024,2023/24,Crystal Palace,2024-02-12,6,6,0,3,210,149.7
2023-2024,2023/24,Chelsea,2024-02-12,7,7,0,3,279,195.1
2023-2024,2023/24,Brentford,2024-02-17,5,5,0,1,238,175.8
2023-2024,2023/24,Liverpool,2024-02-17,6,6,0,3,268,158.8
2023-2024,2023/24,Nottingham Forest,2024-02-17,2,2,0,2,147,132.5
2023-2024,2023/24,West Ham,2024-02-17,0,0,0,0,0,0.0
2023-2024,2023/24,Burnley,2024-02-17,4,4,0,2,232,127.8
2023-2024,2023/24,Arsenal,2024-02-17,1,1,0,0,250,250.0
2023-2024,2023/24,Fulham,2024-02-17,1,1,0,1,70,70.0
2023-2024,2023/24,Aston Villa,2024-02-17,6,6,0,1,280,129.7
2023-2024,2023/24,Newcastle,2024-02-17,6,5,1,1,215,168.3
2023-2024,2023/24,Bournemouth,2024-02-17,5,5,0,3,281,117.4
2023-2024,2023/24,Tottenham,2024-02-17,5,5,0,2,280,157.4
2023-2024,2023/24,Wolves,2024-02-17,1,1,0,1,63,63.0
2023-2024,2023/24,Manchester City,2024-02-17,2,2,0,1,94,50.5
2023-2024,2023/24,Chelsea,2024-02-17,8,8,0,4,279,193.1
2023-2024,2023/24,Sheffield Utd,2024-02-18,5,5,0,2,281,248.2
2023-2024,2023/24,Brighton,2024-02-18,5,5,0,1,230,136.4
2023-2024,2023/24,Luton,2024-02-18,3,3,0,1,211,166.7
2023-2024,2023/24,Manchester United,2024-02-18,5,5,0,1,278,210.0
2023-2024,2023/24,Everton,2024-02-19,2,2,0,1,281,161.5
2023-2024,2023/24,Crystal Palace,2024-02-19,6,6,0,3,210,149.7
2023-2024,2023/24,Manchester City,2024-02-20,2,2,0,1,94,50.5
2023-2024,2023/24,Brentford,2024-02-20,6,6,0,1,238,150.5
2023-2024,2023/24,Liverpool,2024-02-21,7,7,0,4,268,195.0
2023-2024,2023/24,Luton,2024-02-21,5,5,0,2,211,129.0
2023-2024,2023/24,Aston Villa,2024-02-24,6,6,0,1,280,129.7
2023-2024,2023/24,Nottingham Forest,2024-02-24,4,4,0,1,118,84.8
2023-2024,2023/24,Manchester United,2024-02-24,7,7,0,2,278,216.1
2023-2024,2023/24,Fulham,2024-02-24,2,1,1,1,196,133.0
2023-2024,2023/24,Crystal Palace,2024-02-24,5,5,0,2,210,152.6
2023-2024,2023/24,Burnley,2024-02-24,5,5,0,2,232,131.8
2023-2024,2023/24,Brighton,2024-02-24,5,5,0,1,205,90.4
2023-2024,2023/24,Everton,2024-02-24,2,2,0,1,281,161.5
2023-2024,2023/24,Bournemouth,2024-02-24,4,4,0,3,281,146.8
2023-2024,2023/24,Manchester City,2024-02-24,1,1,0,0,7,7.0
2023-2024,2023/24,Arsenal,2024-02-24,2,2,0,0,250,191.5
2023-2024,2023/24,Newcastle,2024-02-24,7,6,1,1,215,144.3
2023-2024,2023/24,Wolves,2024-02-25,1,1,0,1,63,63.0
2023-2024,2023/24,Sheffield Utd,2024-02-25,7,6,1,2,281,188.9
2023-2024,2023/24,West Ham,2024-02-26,1,0,1,0,82,82.0
2023-2024,2023/24,Brentford,2024-02-26,6,6,0,1,238,150.5
2023-2024,2023/24,Brentford,2024-03-02,7,7,0,1,238,149.4
2023-2024,2023/24,Chelsea,2024-03-02,7,7,0,3,279,236.7
2023-2024,2023/24,Newcastle,2024-03-02,5,4,1,1,215,178.2
2023-2024,2023/24,Wolves,2024-03-02,2,2,0,2,70,66.5
2023-2024,2023/24,Fulham,2024-03-02,1,1,0,1,70,70.0
2023-2024,2023/24,Brighton,2024-03-02,5,5,0,1,205,106.0
2023-2024,2023/24,Everton,2024-03-02,2,2,0,1,281,161.5
2023-2024,2023/24,West Ham,2024-03-02,1,1,0,1,14,14.0
2023-2024,2023/24,Tottenham,2024-03-02,4,4,0,1,280,196.8
2023-2024,2023/24,Crystal Palace,2024-03-02,5,5,0,2,210,152.6
2023-2024,2023/24,Nottingham Forest,2024-03-02,3,3,0,1,183,114.0
2023-2024,2023/24,Liverpool,2024-03-02,9,9,0,5,268,174.3
2023-2024,2023/24,Luton,2024-03-02,6,6,0,3,211,140.2
2023-2024,2023/24,Aston Villa,2024-03-02,5,5,0,1,280,153.2
2023-2024,2023/24,Burnley,2024-03-03,6,5,1,2,232,109.8
2023-2024,2023/24,Bournemouth,2024-03-03,5,5,0,3,281,117.4
2023-2024,2023/24,Manchester City,2024-03-03,1,1,0,1,94,94.0
2023-2024,2023/24,Manchester United,2024-03-03,7,7,0,2,278,216.1
2023-2024,2023/24,Sheffield Utd,2024-03-04,9,8,1,5,281,179.9
2023-2024,2023/24,Arsenal,2024-03-04,1,1,0,0,250,250.0
2023-2024,2023/24,Manchester United,2024-03-09,6,6,0,1,278,192.2
2023-2024,2023/24,Everton,2024-03-09,2,2,0,1,281,161.5
2023-2024,2023/24,Wolves,2024-03-09,2,2,0,2,70,66.5
2023-2024,2023/24,Fulham,2024-03-09,0,0,0,0,0,0.0
2023-2024,2023/24,Bournemouth,2024-03-09,5,5,0,3,281,96.4
2023-2024,2023/24,Sheffield Utd,2024-03-09,8,8,0,5,281,192.9
2023-2024,2023/24,Crystal Palace,2024-03-09,6,6,0,3,281,174.0
2023-2024,2023/24,Luton,2024-03-09,8,8,0,3,281,162.0
2023-2024,2023/24,Arsenal,2024-03-09,2,1,1,0,250,177.5
2023-2024,2023/24,Brentford,2024-03-09,7,7,0,1,238,149.4
2023-2024,2023/24,Aston Villa,2024-03-10,4,4,0,0,280,180.2
2023-2024,2023/24,Tottenham,2024-03-10,3,3,0,1,280,199.0
2023-2024,2023/24,Brighton,2024-03-10,5,5,0,1,205,106.0
2023-2024,2023/24,Nottingham Forest,2024-03-10,1,1,0,0,183,183.0
2023-2024,2023/24,West Ham,2024-03-10,1,1,0,1,14,14.0
2023-2024,2023/24,Burnley,2024-03-10,5,5,0,2,232,131.8
2023-2024,2023/24,Liverpool,2024-03-10,8,8,0,2,268,186.4
2023-2024,2023/24,Manchester City,2024-03-10,1,1,0,1,94,94.0
2023-2024,2023/24,Chelsea,2024-03-11,6,6,0,2,279,238.3
2023-2024,2023/24,Newcastle,2024-03-11,6,4,2,2,215,153.5
2023-2024,2023/24,Bournemouth,2024-03-13,4,4,0,3,281,111.5
2023-2024,2023/24,Luton,2024-03-13,7,7,0,2,281,157.1
2023-2024,2023/24,Burnley,2024-03-16,5,5,0,2,232,103.8
2023-2024,2023/24,Brentford,2024-03-16,7,7,0,1,238,150.7
2023-2024,2023/24,Luton,2024-03-16,8,8,0,3,281,144.8
2023-2024,2023/24,Nottingham Forest,2024-03-16,2,2,0,1,183,165.0
2023-2024,2023/24,Fulham,2024-03-16,0,0,0,0,0,0.0
2023-2024,2023/24,Tottenham,2024-03-16,4,4,0,2,280,180.8
2023-2024,2023/24,West Ham,2024-03-17,1,1,0,1,14,14.0
2023-2024,2023/24,Aston Villa,2024-03-17,5,4,1,0,280,144.2
2023-2024,2023/24,Newcastle,2024-03-30,6,5,1,1,227,189.3
2023-2024,2023/24,West Ham,2024-03-30,0,0,0,0,0,0.0
2023-2024,2023/24,Nottingham Forest,2024-03-30,2,2,0,1,183,169.0
2023-2024,2023/24,Crystal Palace,2024-03-30,5,5,0,1,168,141.6
2023-2024,2023/24,Sheffield Utd,2024-03-30,6,6,0,3,281,248.5
2023-2024,2023/24,Fulham,2024-03-30,0,0,0,0,0,0.0
2023-2024,2023/24,Chelsea,2024-03-30,9,9,0,2,279,215.9
2023-2024,2023/24,Burnley,2024-03-30,6,5,1,2,232,86.5
2023-2024,2023/24,Tottenham,2024-03-30,3,3,0,1,280,199.0
2023-2024,2023/24,Luton,2024-03-30,9,9,0,5,281,153.4
2023-2024,2023/24,Bournemouth,2024-03-30,3,3,0,3,281,110.3
2023-2024,2023/24,Everton,2024-03-30,3,3,0,1,281,117.0
2023-2024,2023/24,Aston Villa,2024-03-30,5,5,0,1,280,173.0
2023-2024,2023/24,Wolves,2024-03-30,2,2,0,2,174,122.0
2023-2024,2023/24,Brentford,2024-03-30,8,7,1,1,238,123.8
2023-2024,2023/24,Manchester United,2024-03-30,4,3,1,0,278,224.0
2023-2024,2023/24,Liverpool,2024-03-31,6,6,0,2,268,192.8
2023-2024,2023/24,Brighton,2024-03-31,5,5,0,1,205,74.8
2023-2024,2023/24,Manchester City,2024-03-31,1,1,0,1,9,9.0
2023-2024,2023/24,Arsenal,2024-03-31,1,1,0,0,250,250.0
2023-2024,2023/24,Newcastle,2024-04-02,8,6,2,1,227,169.9
2023-2024,2023/24,Everton,2024-04-02,3,3,0,1,281,117.0
2023-2024,2023/24,Nottingham Forest,2024-04-02,1,1,0,1,155,155.0
2023-2024,2023/24,Fulham,2024-04-02,0,0,0,0,0,0.0
2023-2024,2023/24,Bournemouth,2024-04-02,3,3,0,3,281,110.3
2023-2024,2023/24,Crystal Palace,2024-04-02,6,6,0,2,281,164.8
2023-2024,2023/24,Burnley,2024-04-02,7,5,2,2,232,74.1
2023-2024,2023/24,Wolves,2024-04-02,2,2,0,2,174,122.0
2023-2024,2023/24,West Ham,2024-04-02,2,1,1,0,203,107.0
2023-2024,2023/24,Tottenham,2024-04-02,3,3,0,1,280,199.0
2023-2024,2023/24,Brentford,2024-04-03,7,7,0,1,238,133.0
2023-2024,2023/24,Brighton,2024-04-03,5,5,0,0,205,88.2
2023-2024,2023/24,Arsenal,2024-04-03,1,1,0,0,250,250.0
2023-2024,2023/24,Luton,2024-04-03,9,9,0,5,281,153.4
2023-2024,2023/24,Manchester City,2024-04-03,2,2,0,2,9,7.0
2023-2024,2023/24,Aston Villa,2024-04-03,6,6,0,2,280,144.2
2023-2024,2023/24,Liverpool,2024-04-04,6,6,0,2,268,192.8
2023-2024,2023/24,Sheffield Utd,2024-04-04,8,8,0,4,281,243.4
2023-2024,2023/24,Chelsea,2024-04-04,6,6,0,2,279,216.7
2023-2024,2023/24,Manchester United,2024-04-04,5,5,0,2,278,208.8
2023-2024,2023/24,Crystal Palace,2024-04-06,6,6,0,1,281,142.3
2023-2024,2023/24,Manchester City,2024-04-06,2,2,0,2,9,7.0
2023-2024,2023/24,Luton,2024-04-06,10,10,0,5,281,162.6
2023-2024,2023/24,Bournemouth,2024-04-06,3,3,0,2,281,110.3
2023-2024,2023/24,Everton,2024-04-06,2,2,0,1,281,154.5
2023-2024,2023/24,Burnley,2024-04-06,5,5,0,2,232,103.8
2023-2024,2023/24,Wolves,2024-04-06,2,2,0,1,203,188.5
2023-2024,2023/24,West Ham,2024-04-06,1,1,0,0,11,11.0
2023-2024,2023/24,Aston Villa,2024-04-06,5,5,0,1,280,181.6
2023-2024,2023/24,Brentford,2024-04-06,7,7,0,1,238,106.6
2023-2024,2023/24,Fulham,2024-04-06,0,0,0,0,0,0.0
2023-2024,2023/24,Newcastle,2024-04-06,10,9,1,2,227,135.9
2023-2024,2023/24,Brighton,2024-04-06,7,7,0,0,205,79.1
2023-2024,2023/24,Arsenal,2024-04-06,1,1,0,0,250,250.0
2023-2024,2023/24,Manchester United,2024-04-07,7,7,0,2,278,186.0
2023-2024,2023/24,Liverpool,2024-04-07,6,6,0,2,268,192.8
2023-2024,2023/24,Sheffield Utd,2024-04-07,8,8,0,4,281,243.4
2023-2024,2023/24,Chelsea,2024-04-07,6,6,0,2,279,216.7
2023-2024,2023/24,Tottenham,2024-04-07,4,4,0,1,280,196.8
2023-2024,2023/24,Nottingham Forest,2024-04-07,3,3,0,2,183,151.7
2023-2024,2023/24,Newcastle,2024-04-13,10,9,1,2,280,159.6
2023-2024,2023/24,Tottenham,2024-04-13,4,4,0,1,280,196.8
2023-2024,2023/24,Manchester City,2024-04-13,0,0,0,0,0,0.0
2023-2024,2023/24,Luton,2024-04-13,11,10,1,5,281,162.5
2023-2024,2023/24,Burnley,2024-04-13,6,5,1,2,232,98.5
2023-2024,2023/24,Brighton,2024-04-13,9,9,0,1,230,112.3
2023-2024,2023/24,Nottingham Forest,2024-04-13,2,2,0,2,155,136.0
2023-2024,2023/24,Wolves,2024-04-13,2,2,0,1,203,188.5
2023-2024,2023/24,Brentford,2024-04-13,5,5,0,1,238,149.2
2023-2024,2023/24,Sheffield Utd,2024-04-13,8,8,0,4,281,243.4
2023-2024,2023/24,Bournemouth,2024-04-13,5,5,0,2,281,109.2
2023-2024,2023/24,Manchester United,2024-04-13,8,8,0,2,278,183.6
2023-2024,2023/24,Liverpool,2024-04-14,2,2,0,1,268,216.0
2023-2024,2023/24,Crystal Palace,2024-04-14,6,6,0,1,281,142.3
2023-2024,2023/24,West Ham,2024-04-14,3,3,0,2,82,34.0
2023-2024,2023/24,Fulham,2024-04-14,0,0,0,0,0,0.0
2023-2024,2023/24,Arsenal,2024-04-14,1,1,0,0,250,250.0
2023-2024,2023/24,Aston Villa,2024-04-14,5,4,1,0,280,178.0
2023-2024,2023/24,Chelsea,2024-04-15,5,5,0,2,279,241.8
2023-2024,2023/24,Everton,2024-04-15,2,2,0,1,281,154.5
2023-2024,2023/24,Sheffield Utd,2024-04-20,7,7,0,3,281,243.1
2023-2024,2023/24,Burnley,2024-04-20,5,5,0,2,232,118.2
2023-2024,2023/24,Luton,2024-04-20,8,8,0,4,281,148.1
2023-2024,2023/24,Brentford,2024-04-20,4,4,0,1,238,186.5
2023-2024,2023/24,Wolves,2024-04-20,6,6,0,4,203,107.8
2023-2024,2023/24,Arsenal,2024-04-20,2,2,0,0,250,191.5
2023-2024,2023/24,Everton,2024-04-21,3,3,0,2,281,112.3
2023-2024,2023/24,Nottingham Forest,2024-04-21,2,2,0,2,155,136.0
2023-2024,2023/24,Crystal Palace,2024-04-21,5,5,0,2,281,182.2
2023-2024,2023/24,West Ham,2024-04-21,2,2,0,0,9,8.5
2023-2024,2023/24,Aston Villa,2024-04-21,7,6,1,2,280,160.0
2023-2024,2023/24,Bournemouth,2024-04-21,5,5,0,2,281,119.2
2023-2024,2023/24,Fulham,2024-04-21,0,0,0,0,0,0.0
2023-2024,2023/24,Liverpool,2024-04-21,4,4,0,1,268,136.2
2023-2024,2023/24,Arsenal,2024-04-23,0,0,0,0,0,0.0
2023-2024,2023/24,Chelsea,2024-04-23,8,8,0,2,279,208.4
2023-2024,2023/24,Wolves,2024-04-24,4,4,0,3,174,95.2
2023-2024,2023/24,Bournemouth,2024-04-24,6,6,0,2,281,102.5
2023-2024,2023/24,Everton,2024-04-24,4,4,0,2,281,84.8
2023-2024,2023/24,Liverpool,2024-04-24,6,6,0,1,268,159.5
2023-2024,2023/24,Manchester United,2024-04-24,7,7,0,3,278,223.3
2023-2024,2023/24,Sheffield Utd,2024-04-24,7,7,0,3,281,243.1
2023-2024,2023/24,Crystal Palace,2024-04-24,6,6,0,2,281,179.8
2023-2024,2023/24,Newcastle,2024-04-24,9,8,1,2,280,161.9
2023-2024,2023/24,Brighton,2024-04-25,8,8,0,1,205,107.1
2023-2024,2023/24,Manchester City,2024-04-25,0,0,0,0,0,0.0
2023-2024,2023/24,West Ham,2024-04-27,2,2,0,0,104,56.0
2023-2024,2023/24,Liverpool,2024-04-27,5,5,0,1,268,151.0
2023-2024,2023/24,Wolves,2024-04-27,5,5,0,4,174,76.2
2023-2024,2023/24,Luton,2024-04-27,8,8,0,3,281,161.0
2023-2024,2023/24,Manchester United,2024-04-27,8,8,0,2,278,184.0
2023-2024,2023/24,Burnley,2024-04-27,5,5,0,2,232,118.2
2023-2024,2023/24,Fulham,2024-04-27,0,0,0,0,0,0.0
2023-2024,2023/24,Crystal Palace,2024-04-27,6,6,0,2,281,179.8
2023-2024,2023/24,Newcastle,2024-04-27,9,8,1,2,280,181.3
2023-2024,2023/24,Sheffield Utd,2024-04-27,9,9,0,5,281,227.7
2023-2024,2023/24,Everton,2024-04-27,5,5,0,3,281,119.6
2023-2024,2023/24,Brentford,2024-04-27,5,4,1,1,238,192.6
2023-2024,2023/24,Aston Villa,2024-04-27,6,6,0,2,280,165.7
2023-2024,2023/24,Chelsea,2024-04-27,10,10,0,3,279,213.0
2023-2024,2023/24,Tottenham,2024-04-28,4,4,0,2,280,196.8
2023-2024,2023/24,Arsenal,2024-04-28,1,1,0,0,250,250.0
2023-2024,2023/24,Bournemouth,2024-04-28,7,6,1,2,281,89.7
2023-2024,2023/24,Brighton,2024-04-28,8,8,0,2,205,125.6
2023-2024,2023/24,Nottingham Forest,2024-04-28,1,1,0,1,155,155.0
2023-2024,2023/24,Manchester City,2024-04-28,2,2,0,0,0,0.0
2023-2024,2023/24,Chelsea,2024-05-02,12,12,0,4,279,183.8
2023-2024,2023/24,Tottenham,2024-05-02,6,6,0,4,280,154.7
2023-2024,2023/24,Luton,2024-05-03,8,8,0,3,281,161.0
2023-2024,2023/24,Everton,2024-05-03,3,3,0,2,281,108.0
2023-2024,2023/24,Arsenal,2024-05-04,0,0,0,0,0,0.0
2023-2024,2023/24,Bournemouth,2024-05-04,6,5,1,2,281,104.2
2023-2024,2023/24,Brentford,2024-05-04,4,4,0,1,238,186.5
2023-2024,2023/24,Fulham,2024-05-04,0,0,0,0,0,0.0
2023-2024,2023/24,Burnley,2024-05-04,5,5,0,2,232,90.4
2023-2024,2023/24,Newcastle,2024-05-04,7,6,1,1,280,165.7
2023-2024,2023/24,Sheffield Utd,2024-05-04,8,8,0,4,281,241.4
2023-2024,2023/24,Nottingham Forest,2024-05-04,1,1,0,1,15,15.0
2023-2024,2023/24,Manchester City,2024-05-04,0,0,0,0,0,0.0
2023-2024,2023/24,Wolves,2024-05-04,2,2,0,1,173,100.5
2023-2024,2023/24,Brighton,2024-05-05,9,9,0,2,205,111.7
2023-2024,2023/24,Aston Villa,2024-05-05,6,6,0,1,280,127.3
2023-2024,2023/24,Chelsea,2024-05-05,8,8,0,3,279,223.1
2023-2024,2023/24,West Ham,2024-05-05,2,2,0,0,104,93.0
2023-2024,2023/24,Liverpool,2024-05-05,4,4,0,1,268,169.8
2023-2024,2023/24,Tottenham,2024-05-05,6,6,0,4,280,154.7
2023-2024,2023/24,Crystal Palace,2024-05-06,5,5,0,2,281,201.0
2023-2024,2023/24,Manchester United,2024-05-06,7,7,0,3,278,203.4
2023-2024,2023/24,Fulham,2024-05-11,0,0,0,0,0,0.0
2023-2024,2023/24,Manchester City,2024-05-11,0,0,0,0,0,0.0
2023-2024,2023/24,Newcastle,2024-05-11,6,5,1,0,280,193.3
2023-2024,2023/24,Brighton,2024-05-11,8,8,0,1,205,101.8
2023-2024,2023/24,Tottenham,2024-05-11,6,6,0,4,280,154.7
2023-2024,2023/24,Burnley,2024-05-11,5,5,0,2,232,90.4
2023-2024,2023/24,Wolves,2024-05-11,2,2,0,1,173,100.5
2023-2024,2023/24,Crystal Palace,2024-05-11,4,4,0,1,281,193.0
2023-2024,2023/24,Bournemouth,2024-05-11,4,3,1,1,281,90.0
2023-2024,2023/24,Brentford,2024-05-11,4,4,0,1,238,186.5
2023-2024,2023/24,Everton,2024-05-11,3,3,0,2,281,108.0
2023-2024,2023/24,Sheffield Utd,2024-05-11,9,7,2,4,281,216.9
2023-2024,2023/24,West Ham,2024-05-11,1,1,0,0,82,82.0
2023-2024,2023/24,Luton,2024-05-11,7,7,0,2,281,179.1
2023-2024,2023/24,Nottingham Forest,2024-05-11,1,1,0,1,15,15.0
