Season,Season_Label,Team,Player,Player_ID,Matches_Missed_Total,Matches_Missed_Injury,First_Missed_Fixture,Last_Missed_Fixture,Main_Reason,Main_Injury_Category,Max_Reported_Days_Out
2023-2024,2023/24,Luton,J. Brown,19802,14,14,2024-02-21,2024-05-19,Knee Injury,Knee,87
2023-2024,2023/24,Luton,J. Johnson,406507,3,3,2024-03-09,2024-03-16,Illness,Other,7
2023-2024,2023/24,Luton,C. Ogbene,19365,7,7,2024-03-30,2024-05-03,Thigh Injury,Thigh,34
2023-2024,2023/24,Luton,R. Barkley,2287,1,1,2024-05-19,2024-05-19,Calf Injury,Calf,0
2023-2024,2023/24,Manchester City,J. Stones,626,7,7,2023-08-19,2024-01-13,Muscle Injury,Muscle,146
2023-2024,2023/24,Manchester City,K. De Bruyne,629,23,23,2023-08-19,2023-12-27,Thigh Injury,Thigh,130
2023-2024,2023/24,Manchester City,B. Silva,636,1,1,2023-09-23,2023-09-23,Injury,Generic injury,0
2023-2024,2023/24,Manchester City,Rodri,44,3,0,2023-09-30,2023-12-06,Red Card,Other,67
2023-2024,2023/24,Manchester City,M. Akanji,5,2,1,2023-10-29,2024-01-13,Red Card,Other,76
2023-2024,2023/24,Manchester City,S. Gomez,23,2,2,2023-11-07,2023-11-12,Injury,Generic injury,4
2023-2024,2023/24,Manchester City,J. Grealish,19187,6,5,2023-12-06,2024-03-10,Groin Injury,Groin,94
2023-2024,2023/24,Manchester City,E. Haaland,1100,4,4,2023-12-10,2024-01-13,Foot Injury,Generic injury,34
2023-2024,2023/24,Manchester City,J. Doku,1422,2,2,2023-12-16,2023-12-30,Knock,Knock,14
2023-2024,2023/24,Manchester City,J. Gvardiol,129033,3,3,2024-02-17,2024-02-24,Ankle Injury,Ankle,7
2023-2024,2023/24,Manchester City,K. Walker,627,4,4,2024-03-31,2024-04-09,Thigh Injury,Thigh,9
2023-2024,2023/24,Manchester City,N. Ake,18861,3,3,2024-04-03,2024-04-09,Muscle Injury,Muscle,5
2023-2024,2023/24,Manchester City,P. Foden,631,1,1,2024-04-28,2024-04-28,Illness,Other,0
2023-2024,2023/24,Manchester City,R. Dias,567,1,1,2024-04-28,2024-04-28,Illness,Other,0
2023-2024,2023/24,Manchester City,Ederson,617,1,1,2024-05-19,2024-05-19,Eye injury,Generic injury,0
2023-2024,2023/24,Manchester United,A. Diallo,157997,26,25,2023-08-14,2024-03-30,Knee Injury,Knee,229
2023-2024,2023/24,Manchester United,K. Mainoo,284322,10,10,2023-08-14,2023-10-07,Ankle Injury,Ankle,53
2023-2024,2023/24,Manchester United,M. Greenwood,897,2,2,2023-08-14,2023-08-19,Inactive,Other,4
2023-2024,2023/24,Manchester United,T. Heaton,2931,5,5,2023-08-14,2023-09-16,Calf Injury,Calf,32
2023-2024,2023/24,Manchester United,T. Malacia,37145,43,43,2023-08-14,2024-05-19,Muscle Injury,Muscle,278
2023-2024,2023/24,Manchester United,R. Hojlund,288006,4,4,2023-08-19,2024-03-03,Muscle Injury,Muscle,196
2023-2024,2023/24,Manchester United,L. Shaw,891,27,27,2023-08-26,2024-05-19,Muscle Injury,Muscle,267
2023-2024,2023/24,Manchester United,M. Mount,19220,20,20,2023-08-26,2024-05-19,Injury,Generic injury,267
2023-2024,2023/24,Manchester United,R. Varane,742,8,8,2023-09-03,2024-05-12,Injury,Generic injury,252
2023-2024,2023/24,Manchester United,Antony,9971,4,4,2023-09-16,2023-09-30,Inactive,Other,14
2023-2024,2023/24,Manchester United,J. Sancho,18,22,4,2023-09-16,2023-12-30,Suspended,Other,105
2023-2024,2023/24,Manchester United,S. Amrabat,74,4,2,2023-09-16,2024-02-01,Back Injury,Generic injury,138
2023-2024,2023/24,Manchester United,A. Wan-Bissaka,18846,9,9,2023-09-20,2024-03-03,Injury,Generic injury,164
2023-2024,2023/24,Manchester United,H. Maguire,2935,9,9,2023-09-20,2024-05-19,Groin Injury,Groin,241
2023-2024,2023/24,Manchester United,L. Martinez,2467,30,30,2023-09-30,2024-05-06,Foot Injury,Generic injury,219
2023-2024,2023/24,Manchester United,S. Reguilon,739,2,2,2023-10-03,2023-10-07,Injury,Generic injury,3
2023-2024,2023/24,Manchester United,Casemiro,747,15,14,2023-10-21,2023-12-30,Hamstring Injury,Hamstring,69
2023-2024,2023/24,Manchester United,M. Rashford,909,2,1,2023-11-04,2023-11-29,Leg Injury,Generic injury,25
2023-2024,2023/24,Manchester United,J. Evans,18772,6,6,2023-11-11,2024-04-27,Injury,Generic injury,167
2023-2024,2023/24,Manchester United,C. Eriksen,174,7,7,2023-11-26,2023-12-17,Knee Injury,Knee,21
2023-2024,2023/24,Manchester United,V. Lindelof,889,14,14,2023-12-09,2024-05-15,Hamstring Injury,Hamstring,158
2023-2024,2023/24,Manchester United,B. Fernandes,1485,1,0,2023-12-17,2023-12-17,Yellow Cards,Other,0
2023-2024,2023/24,Manchester United,D. Dalot,886,1,0,2023-12-23,2023-12-23,Red Card,Other,0
2023-2024,2023/24,Manchester United,A. Martial,908,14,14,2023-12-26,2024-04-27,Surgery,Other,122
2023-2024,2023/24,Manchester United,O. Forson,284242,1,1,2024-03-09,2024-03-09,Injury,Generic injury,0
2023-2024,2023/24,Manchester United,S. McTominay,903,2,2,2024-04-07,2024-04-13,Injury,Generic injury,6
2023-2024,2023/24,Manchester United,W. Kambwala,288112,2,2,2024-04-27,2024-05-06,Injury,Generic injury,9
2023-2024,2023/24,Newcastle,E. Krafth,2855,7,7,2023-08-12,2023-09-24,Knee Injury,Knee,42
2023-2024,2023/24,Newcastle,J. Manquillo,18896,17,17,2023-08-12,2024-01-13,Groin Injury,Groin,154
2023-2024,2023/24,Newcastle,J. Willock,1463,29,29,2023-08-12,2024-05-19,Achilles Tendon Injury,Generic injury,280
2023-2024,2023/24,Newcastle,Joelinton,723,16,16,2023-09-24,2024-04-27,Thigh Injury,Thigh,215
2023-2024,2023/24,Newcastle,H. Barnes,18778,20,20,2023-09-30,2024-01-13,Ankle Injury,Ankle,105
2023-2024,2023/24,Newcastle,S. Botman,38734,23,23,2023-10-04,2024-05-19,Knee Injury,Knee,227
2023-2024,2023/24,Newcastle,A. Gordon,138787,2,0,2023-10-08,2024-04-02,Yellow Cards,Other,177
2023-2024,2023/24,Newcastle,L. Miley,328105,13,13,2023-10-21,2024-05-19,Back Injury,Generic injury,211
2023-2024,2023/24,Newcastle,A. Isak,2864,4,4,2023-10-28,2024-02-10,Groin Injury,Groin,105
2023-2024,2023/24,Newcastle,E. Anderson,138908,20,20,2023-10-28,2024-02-24,Back Injury,Generic injury,119
2023-2024,2023/24,Newcastle,J. Murphy,19163,12,12,2023-10-28,2024-01-01,Shoulder Injury,Generic injury,65
2023-2024,2023/24,Newcastle,S. Tonali,31146,32,0,2023-10-28,2024-05-19,Suspended,Other,203
2023-2024,2023/24,Newcastle,D. Burn,18961,7,7,2023-11-07,2023-12-10,Back Injury,Generic injury,32
2023-2024,2023/24,Newcastle,M. Targett,18941,24,24,2023-11-07,2024-05-19,Injury,Generic injury,193
2023-2024,2023/24,Newcastle,B. Guimaraes,10135,1,0,2023-11-11,2023-11-11,Yellow Cards,Other,0
2023-2024,2023/24,Newcastle,C. Wilson,2939,14,14,2023-11-25,2024-04-13,Chest Injury,Generic injury,139
2023-2024,2023/24,Newcastle,L. Hall,284492,2,0,2023-11-25,2024-03-11,Loan agreement,Other,107
2023-2024,2023/24,Newcastle,S. Longstaff,18901,2,2,2023-12-02,2023-12-07,Ankle Injury,Ankle,4
2023-2024,2023/24,Newcastle,N. Pope,18911,21,21,2023-12-07,2024-04-27,Shoulder Injury,Generic injury,141
2023-2024,2023/24,Newcastle,K. Trippier,169,6,6,2024-01-01,2024-04-27,Calf Injury,Calf,116
2023-2024,2023/24,Newcastle,M. Dubravka,18886,1,1,2024-02-24,2024-02-24,Illness,Other,0
2023-2024,2023/24,Newcastle,J. Lascelles,18894,9,9,2024-04-02,2024-05-19,Knee Injury,Knee,46
2023-2024,2023/24,Newcastle,M. Almiron,2507,3,3,2024-04-06,2024-04-24,Knee Injury,Knee,18
2023-2024,2023/24,Newcastle,V. Livramento,158694,2,2,2024-04-06,2024-05-19,Ankle Injury,Ankle,43
2023-2024,2023/24,Newcastle,F. Schar,2806,1,1,2024-05-04,2024-05-04,Thigh Injury,Thigh,0
2023-2024,2023/24,Nottingham Forest,O. Richards,19610,2,2,2023-08-12,2023-08-18,Calf Injury,Calf,6
2023-2024,2023/24,Nottingham Forest,W. Hennessey,18836,5,5,2023-08-12,2023-10-07,Knee Injury,Knee,56
2023-2024,2023/24,Nottingham Forest,Felipe,371,9,9,2023-08-18,2024-01-20,Muscle Injury,Muscle,154
2023-2024,2023/24,Nottingham Forest,Danilo,275170,5,5,2023-09-23,2023-10-29,Thigh Injury,Thigh,36
2023-2024,2023/24,Nottingham Forest,M. Niakhate,25916,3,0,2023-10-07,2024-01-30,National selection,Other,115
2023-2024,2023/24,Nottingham Forest,N. Tavares,41577,7,6,2023-10-07,2024-04-07,Injury,Generic injury,183
2023-2024,2023/24,Nottingham Forest,G. Montiel,2468,6,6,2023-10-21,2024-03-16,Muscle Injury,Muscle,147
2023-2024,2023/24,Nottingham Forest,C. Hudson-Odoi,2298,3,3,2023-10-29,2023-11-12,Thigh Injury,Thigh,14
2023-2024,2023/24,Nottingham Forest,D. Origi,305,4,4,2023-10-29,2024-02-04,Groin Injury,Groin,98
2023-2024,2023/24,Nottingham Forest,C. Wood,18931,5,5,2023-11-05,2024-03-02,Thigh Injury,Thigh,118
2023-2024,2023/24,Nottingham Forest,T. Awoniyi,8598,15,15,2023-11-25,2024-04-28,Groin Injury,Groin,155
2023-2024,2023/24,Nottingham Forest,S. Aurier,163,6,4,2023-12-09,2024-01-30,Calf Injury,Calf,52
2023-2024,2023/24,Nottingham Forest,I. Sangare,22149,7,2,2023-12-23,2024-02-24,National selection,Other,63
2023-2024,2023/24,Nottingham Forest,W. Boly,18739,9,4,2023-12-26,2024-04-21,Muscle Injury,Other,117
2023-2024,2023/24,Nottingham Forest,C. Kouyate,2991,2,0,2024-01-20,2024-01-30,National selection,Other,10
2023-2024,2023/24,Nottingham Forest,M. Gibbs-White,18746,1,1,2024-01-20,2024-01-20,Muscle Injury,Muscle,0
2023-2024,2023/24,Nottingham Forest,O. Aina,2771,6,2,2024-01-20,2024-03-02,National selection,Other,41
2023-2024,2023/24,Nottingham Forest,N. Williams,138780,3,3,2024-05-04,2024-05-19,Thigh Injury,Thigh,15
2023-2024,2023/24,Nottingham Forest,N. Dominguez,6056,1,1,2024-05-19,2024-05-19,Groin Injury,Groin,0
2023-2024,2023/24,Sheffield Utd,I. Coulibaly,2028,2,2,2023-08-12,2023-08-18,Knee Injury,Knee,6
2023-2024,2023/24,Sheffield Utd,J. Bogle,19201,2,1,2023-08-12,2023-12-26,Knee Injury,Knee,136
2023-2024,2023/24,Sheffield Utd,J. Fleck,19102,6,6,2023-08-12,2023-09-24,Calf Injury,Calf,43
2023-2024,2023/24,Sheffield Utd,R. Brewster,303,20,19,2023-08-12,2024-04-13,Thigh Injury,Thigh,245
2023-2024,2023/24,Sheffield Utd,R. Norrington-Davies,18331,32,32,2023-08-12,2024-05-19,Muscle Injury,Muscle,281
2023-2024,2023/24,Sheffield Utd,D. Jebbison,296458,35,35,2023-08-27,2024-05-11,Muscle Injury,Muscle,258
2023-2024,2023/24,Sheffield Utd,M. Lowe,44809,21,21,2023-08-27,2024-05-04,Ankle Injury,Ankle,251
2023-2024,2023/24,Sheffield Utd,B. Osborn,19302,5,5,2023-09-02,2023-10-07,Groin Injury,Groin,35
2023-2024,2023/24,Sheffield Utd,G. Baldock,19090,18,18,2023-09-16,2024-05-19,Calf Injury,Calf,246
2023-2024,2023/24,Sheffield Utd,J. Egan,19093,32,32,2023-09-16,2024-05-19,Ankle Injury,Ankle,246
2023-2024,2023/24,Sheffield Utd,O. McBurnie,19337,6,3,2023-09-24,2024-05-11,Red Card,Other,229
2023-2024,2023/24,Sheffield Utd,W. Osula,315237,3,3,2023-09-30,2023-10-28,Muscle Injury,Muscle,28
2023-2024,2023/24,Sheffield Utd,C. Basham,19091,30,30,2023-10-21,2024-05-19,Ankle Injury,Ankle,210
2023-2024,2023/24,Sheffield Utd,T. Davies,18762,21,21,2023-10-21,2024-05-19,Injury,Generic injury,210
2023-2024,2023/24,Sheffield Utd,A. Ahmedhodzic,1949,3,1,2023-10-28,2024-05-11,Thigh Injury,Other,196
2023-2024,2023/24,Sheffield Utd,O. Norwood,19105,1,0,2023-12-09,2023-12-09,Yellow Cards,Other,0
2023-2024,2023/24,Sheffield Utd,J. Robinson,19294,1,0,2023-12-16,2023-12-16,Yellow Cards,Other,0
2023-2024,2023/24,Sheffield Utd,G. Hamer,36929,1,0,2023-12-30,2023-12-30,Yellow Cards,Other,0
2023-2024,2023/24,Sheffield Utd,J. McAtee,158697,2,1,2023-12-30,2024-04-27,Loan agreement,Other,118
2023-2024,2023/24,Sheffield Utd,A. B. Slimane,199310,3,2,2024-01-21,2024-03-09,Thigh Injury,Thigh,48
2023-2024,2023/24,Sheffield Utd,Y. Larouci,138828,1,0,2024-01-21,2024-01-21,National selection,Other,0
2023-2024,2023/24,Sheffield Utd,I. Grbic,14382,1,1,2024-02-10,2024-02-10,Head Injury,Generic injury,0
2023-2024,2023/24,Sheffield Utd,M. Holgate,19150,3,0,2024-02-25,2024-05-11,Red Card,Other,76
2023-2024,2023/24,Sheffield Utd,N. Gomis,342659,1,1,2024-02-25,2024-02-25,Injury,Generic injury,0
2023-2024,2023/24,Sheffield Utd,C. Archer,137302,2,2,2024-03-04,2024-03-09,Calf Injury,Calf,4
2023-2024,2023/24,Tottenham,A. Whiteman,161,19,19,2023-08-13,2023-12-28,Ankle Injury,Ankle,137
2023-2024,2023/24,Tottenham,B. Gil,2061,7,7,2023-08-13,2023-09-30,Muscle Injury,Muscle,48
2023-2024,2023/24,Tottenham,R. Bentancur,863,15,15,2023-08-13,2023-12-28,Knee Injury,Knee,137
2023-2024,2023/24,Tottenham,R. Sessegnon,19032,37,37,2023-08-13,2024-05-19,Thigh Injury,Thigh,280
2023-2024,2023/24,Tottenham,G. Lo Celso,1578,2,2,2023-09-02,2024-01-14,Thigh Injury,Thigh,134
2023-2024,2023/24,Tottenham,I. Perisic,207,16,16,2023-09-24,2024-01-14,Knee Injury,Knee,112
2023-2024,2023/24,Tottenham,M. Solomon,697,31,31,2023-10-07,2024-05-19,Knee Injury,Knee,225
2023-2024,2023/24,Tottenham,Y. Bissouma,18968,10,2,2023-10-23,2024-05-19,Red Card,Other,208
2023-2024,2023/24,Tottenham,C. Romero,30776,5,2,2023-11-11,2023-12-31,Red Card,Other,50
2023-2024,2023/24,Tottenham,D. Udogie,204039,9,7,2023-11-11,2024-05-19,Thigh Injury,Thigh,190
2023-2024,2023/24,Tottenham,J. Maddison,18784,10,10,2023-11-11,2024-01-14,Ankle Injury,Ankle,64
2023-2024,2023/24,Tottenham,M. van de Ven,152849,10,10,2023-11-11,2024-03-16,Thigh Injury,Thigh,126
2023-2024,2023/24,Tottenham,Richarlison,2413,7,7,2023-11-11,2024-05-19,Knee Injury,Knee,190
2023-2024,2023/24,Tottenham,E. Dier,175,2,2,2023-12-07,2023-12-10,Muscle Injury,Muscle,2
2023-2024,2023/24,Tottenham,D. Kulusevski,30435,1,0,2023-12-31,2023-12-31,Yellow Cards,Other,0
2023-2024,2023/24,Tottenham,A. Veliz,311344,2,2,2024-01-14,2024-01-31,Knee Injury,Knee,17
2023-2024,2023/24,Tottenham,B. Davies,164,6,6,2024-01-14,2024-05-19,Calf Injury,Calf,125
2023-2024,2023/24,Tottenham,P. M. Sarr,237129,2,0,2024-01-14,2024-01-31,National selection,Other,17
2023-2024,2023/24,Tottenham,Son Heung-Min,186,3,0,2024-01-14,2024-02-03,International duty,Other,19
2023-2024,2023/24,Tottenham,F. Forster,18932,14,14,2024-02-17,2024-05-19,Ankle Injury,Ankle,92
2023-2024,2023/24,Tottenham,P. Porro,47519,1,1,2024-02-17,2024-02-17,Muscle Injury,Muscle,0
2023-2024,2023/24,Tottenham,T. Werner,1166,5,5,2024-05-02,2024-05-19,Thigh Injury,Thigh,16
2023-2024,2023/24,West Ham,K. Mavropanos,1445,1,1,2023-09-01,2023-09-01,Lower Back Injury,Generic injury,0
2023-2024,2023/24,West Ham,T. Soucek,1243,1,1,2023-09-01,2023-09-01,Head Injury,Generic injury,0
2023-2024,2023/24,West Ham,E. Alvarez,2869,4,0,2023-09-21,2024-04-11,Yellow Cards,Other,203
2023-2024,2023/24,West Ham,A. Cresswell,18813,2,2,2023-09-24,2023-10-08,Thigh Injury,Thigh,14
2023-2024,2023/24,West Ham,B. Johnson,18823,1,1,2023-10-08,2023-10-08,Groin Injury,Groin,0
2023-2024,2023/24,West Ham,Emerson,2284,2,0,2023-10-29,2024-04-18,Yellow Cards,Other,172
2023-2024,2023/24,West Ham,M. Antonio,18819,14,14,2023-11-25,2024-02-11,Knee Injury,Knee,77
2023-2024,2023/24,West Ham,L. Paqueta,1646,5,4,2024-01-02,2024-04-18,Calf Injury,Calf,106
2023-2024,2023/24,West Ham,V. Coufal,1231,2,1,2024-01-02,2024-02-01,Illness,Other,30
2023-2024,2023/24,West Ham,M. Kudus,15911,1,0,2024-01-21,2024-01-21,National selection,Other,0
2023-2024,2023/24,West Ham,N. Aguerd,21694,3,2,2024-01-21,2024-05-05,Ankle Injury,Ankle,104
2023-2024,2023/24,West Ham,K. Phillips,19130,6,5,2024-02-26,2024-05-19,Injury,Generic injury,82
2023-2024,2023/24,West Ham,M. Cornet,665,5,5,2024-03-02,2024-03-17,Thigh Injury,Thigh,14
2023-2024,2023/24,West Ham,A. Areola,253,4,4,2024-04-02,2024-04-14,Injury,Generic injury,11
2023-2024,2023/24,West Ham,J. Bowen,19428,3,3,2024-04-11,2024-04-21,Hip Injury,Generic injury,9
2023-2024,2023/24,West Ham,G. Earthy,291363,3,3,2024-04-18,2024-04-27,Concussion,Other,8
2023-2024,2023/24,Wolves,J. Hodge,204033,11,11,2023-09-03,2023-12-24,Shoulder Injury,Generic injury,112
2023-2024,2023/24,Wolves,J. Bellegarde,20665,5,3,2023-09-30,2024-04-20,Knee Injury,Knee,203
2023-2024,2023/24,Wolves,T. Doyle,144732,1,0,2023-09-30,2023-09-30,Loan agreement,Other,0
2023-2024,2023/24,Wolves,M. Lemina,18947,2,0,2023-10-21,2023-12-02,Red Card,Other,42
2023-2024,2023/24,Wolves,N. Semedo,130,1,0,2023-10-21,2023-10-21,Yellow Cards,Other,0
2023-2024,2023/24,Wolves,H. Bueno,280687,2,2,2023-10-28,2023-11-04,Thigh Injury,Thigh,6
2023-2024,2023/24,Wolves,P. Neto,1864,11,11,2023-11-04,2024-04-27,Hamstring Injury,Hamstring,174
2023-2024,2023/24,Wolves,C. Dawson,19147,7,6,2023-11-27,2024-05-19,Groin Injury,Groin,173
2023-2024,2023/24,Wolves,Joao Gomes,195103,1,0,2023-12-02,2023-12-02,Yellow Cards,Other,0
2023-2024,2023/24,Wolves,Jonny,18740,7,7,2023-12-05,2024-01-22,Coach's decision,Other,48
2023-2024,2023/24,Wolves,B. Traore,157912,3,0,2024-01-22,2024-02-04,International duty,Other,12
2023-2024,2023/24,Wolves,Hwang Hee-Chan,24888,7,4,2024-01-22,2024-04-02,Thigh Injury,Thigh,70
2023-2024,2023/24,Wolves,J. Gomes,195103,1,0,2024-01-22,2024-01-22,Red Card,Other,0
2023-2024,2023/24,Wolves,R. Ait-Nouri,21138,1,0,2024-01-22,2024-01-22,National selection,Other,0
2023-2024,2023/24,Wolves,M. Cunha,1165,5,5,2024-02-17,2024-04-20,Thigh Injury,Thigh,63
2023-2024,2023/24,Wolves,L. Chiwome,380653,6,6,2024-04-20,2024-05-19,Ankle Injury,Ankle,28
2023-2024,2023/24,Wolves,N. Lemina,338856,3,3,2024-04-20,2024-04-27,Thigh Injury,Thigh,6
2023-2024,2023/24,Wolves,S. Bueno,135334,1,1,2024-04-27,2024-04-27,Thigh Injury,Thigh,0
