team,appearances,minutesPlayed,saves,goalsConceded,rating
ŠK Slovan Bratislava,7,204,0,8,6.42
Juventus,1,22,0,1,6.4
Borussia Dortmund,1,13,0,0,6.4
Bayer 04 Leverkusen,1,14,0,0,6.4
PSV Eindhoven,1,90,0,2,6.4
BSC Young Boys,1,27,0,1,6.4
Shakhtar Donetsk,6,119,0,6,6.4
AC Sparta Praha,4,89,0,6,6.4
Atalanta,3,71,0,1,6.37
Benfica,2,98,0,1,6.35
Celtic,2,33,0,1,6.35
AC Sparta Praha,7,157,0,7,6.33
Red Bull Salzburg,6,343,0,16,6.33
Bologna,1,29,0,1,6.3
Atlético Madrid,1,45,0,3,6.3
ŠK Slovan Bratislava,5,331,0,15,6.28
RB Leipzig,2,23,0,0,6.2
Inter,2,37,0,3,6.2
AC Sparta Praha,2,130,0,4,6.15
AS Monaco,1,52,0,1,5.8
FC Bayern München,1,2,0,0,0.0
Borussia Dortmund,1,1,0,0,0.0
Bologna,1,1,0,0,0.0
AC Sparta Praha,1,1,0,0,0.0
Atlético Madrid,10,732,0,10,7.76
FC Bayern München,13,1119,0,16,7.7
Atalanta,7,483,0,3,7.69
Paris Saint-Germain,15,1162,0,12,7.63
Atalanta,10,702,0,11,7.62
Paris Saint-Germain,9,735,0,5,7.59
Arsenal,9,763,0,6,7.58
Atlético Madrid,10,790,0,11,7.53
Real Madrid,12,881,0,13,7.51
Real Madrid,12,1104,0,19,7.49
Borussia Dortmund,14,1083,0,19,7.44
Manchester City,9,771,0,17,7.41
FC Barcelona,13,983,0,16,7.41
Borussia Dortmund,10,691,0,8,7.4
Paris Saint-Germain,16,741,0,7,7.37
Sporting CP,8,606,0,13,7.36
Milan,2,180,0,2,7.35
Arsenal,8,560,0,2,7.34
Inter,14,857,0,13,7.31
GNK Dinamo Zagreb,3,192,0,11,7.3
Milan,7,449,0,7,7.29
Real Madrid,14,1132,0,16,7.28
Milan,9,631,0,10,7.22
Lille,10,746,0,10,7.21
Liverpool FC,3,106,0,3,7.2
PSV Eindhoven,12,859,0,17,7.19
PSV Eindhoven,7,171,0,2,7.18
Juventus,9,605,0,7,7.18
Atlético Madrid,8,270,0,7,7.18
Aston Villa,4,309,0,5,7.18
Milan,10,798,0,12,7.17
Paris Saint-Germain,17,1096,0,11,7.13
PSV Eindhoven,12,907,0,18,7.12
Celtic,10,792,0,14,7.1
Borussia Dortmund,13,881,0,13,7.08
FC Bayern München,3,97,0,0,7.07
Borussia Dortmund,5,238,0,4,7.06
Inter,12,714,0,3,7.06
Benfica,12,905,0,15,7.05
Stade Brestois,8,644,0,13,7.05
Benfica,12,852,0,14,7.03
Arsenal,13,940,0,5,7.03
AS Monaco,10,750,0,11,7.03
Girona FC,7,386,0,6,7.03
Milan,9,310,0,3,7.02
PSV Eindhoven,10,686,0,15,7.02
Inter,14,952,0,15,7.01
Juventus,9,548,0,7,7.01
Aston Villa,7,237,0,1,7.0
FC Barcelona,11,420,0,8,6.95
Stade Brestois,9,510,0,13,6.94
Milan,7,276,0,4,6.94
AC Sparta Praha,6,265,0,3,6.93
AS Monaco,3,93,0,3,6.93
Juventus,10,668,0,6,6.92
Milan,7,395,0,6,6.91
RB Leipzig,8,522,0,10,6.91
Bayer 04 Leverkusen,4,243,0,3,6.9
GNK Dinamo Zagreb,5,185,0,6,6.9
Club Brugge KV,12,857,0,15,6.89
GNK Dinamo Zagreb,7,495,0,10,6.89
VfB Stuttgart,6,426,0,7,6.88
FK Crvena zvezda,8,571,0,16,6.86
Atalanta,10,575,0,7,6.86
Lille,5,360,0,3,6.86
Paris Saint-Germain,12,211,0,2,6.86
Arsenal,14,665,0,6,6.84
AS Monaco,6,109,0,3,6.84
Red Bull Salzburg,8,484,0,20,6.84
Feyenoord,7,263,0,6,6.83
RB Leipzig,8,683,0,14,6.83
Borussia Dortmund,9,300,0,1,6.82
PSV Eindhoven,5,153,0,2,6.82
Shakhtar Donetsk,5,221,0,3,6.82
Milan,5,108,0,1,6.82
Aston Villa,12,697,0,7,6.82
Bayer 04 Leverkusen,7,329,0,4,6.82
Arsenal,6,296,0,3,6.82
Celtic,10,337,0,8,6.8
Sporting CP,9,332,0,3,6.8
PSV Eindhoven,1,10,0,0,6.8
PSV Eindhoven,2,33,0,0,6.8
Celtic,2,85,0,0,6.8
Celtic,9,761,0,13,6.79
AC Sparta Praha,8,423,0,10,6.79
Benfica,7,414,0,9,6.79
Red Bull Salzburg,5,318,0,10,6.78
Lille,7,266,0,3,6.77
AC Sparta Praha,6,494,0,12,6.77
SK Sturm Graz,8,669,0,12,6.76
Real Madrid,9,134,0,5,6.76
Benfica,11,243,0,5,6.75
Arsenal,5,260,0,0,6.74
Celtic,6,152,0,6,6.74
VfB Stuttgart,8,403,0,11,6.74
RB Leipzig,6,161,0,4,6.73
Borussia Dortmund,12,617,0,11,6.73
Red Bull Salzburg,7,393,0,17,6.73
Red Bull Salzburg,4,93,0,1,6.73
Bayer 04 Leverkusen,5,210,0,3,6.72
Liverpool FC,9,466,0,1,6.71
AS Monaco,10,547,0,9,6.7
Bayer 04 Leverkusen,8,407,0,7,6.7
Bologna,8,410,0,7,6.7
Sporting CP,1,9,0,0,6.7
BSC Young Boys,7,306,0,14,6.7
Inter,1,14,0,0,6.7
ŠK Slovan Bratislava,8,674,0,25,6.69
RB Leipzig,8,516,0,11,6.69
Benfica,6,86,0,2,6.68
Bayer 04 Leverkusen,4,130,0,4,6.67
Lille,3,138,0,2,6.67
Bologna,8,352,0,1,6.66
Atalanta,7,131,0,0,6.66
AS Monaco,8,556,0,11,6.65
Bayer 04 Leverkusen,4,108,0,0,6.65
SK Sturm Graz,4,131,0,2,6.65
Stade Brestois,9,378,0,14,6.64
Club Brugge KV,7,185,0,2,6.64
Stade Brestois,9,452,0,10,6.63
Girona FC,3,146,0,3,6.63
Shakhtar Donetsk,7,408,0,10,6.63
Milan,4,52,0,1,6.63
AC Sparta Praha,6,327,0,12,6.62
BSC Young Boys,7,244,0,12,6.61
SK Sturm Graz,8,388,0,8,6.61
Feyenoord,8,388,0,9,6.6
BSC Young Boys,8,489,0,12,6.6
ŠK Slovan Bratislava,7,160,0,5,6.6
Girona FC,1,11,0,2,6.6
Sporting CP,1,68,0,4,6.6
Sporting CP,1,34,0,0,6.6
Benfica,4,65,0,0,6.58
Girona FC,4,275,0,5,6.58
Feyenoord,7,316,0,8,6.57
Shakhtar Donetsk,6,148,0,4,6.57
FC Barcelona,4,51,0,0,6.55
Manchester City,2,100,0,5,6.55
Inter,7,207,0,1,6.54
FK Crvena zvezda,7,161,0,5,6.53
Celtic,7,467,0,8,6.53
FC Barcelona,6,52,0,1,6.53
RB Leipzig,4,92,0,2,6.53
Girona FC,5,94,0,1,6.52
Sporting CP,2,73,0,1,6.5
Bayer 04 Leverkusen,2,18,0,0,6.5
AS Monaco,3,47,0,0,6.5
Feyenoord,2,79,0,1,6.5
Stade Brestois,6,79,0,1,6.5
Bologna,7,336,0,2,6.49
BSC Young Boys,5,138,0,4,6.48
Club Brugge KV,5,57,0,3,6.48
SK Sturm Graz,5,96,0,1,6.46
Girona FC,8,278,0,3,6.45
GNK Dinamo Zagreb,5,60,0,5,6.45
Juventus,6,270,0,4,6.43
Celtic,1,11,0,1,6.4
Lille,1,23,0,0,6.4
Atlético Madrid,8,290,0,5,6.39
Benfica,4,42,0,0,6.37
AC Sparta Praha,2,41,0,4,6.3
Liverpool FC,4,237,0,2,6.3
Girona FC,1,11,0,2,6.1
Liverpool FC,1,83,0,3,6.1
Arsenal,1,1,0,0,0.0
SK Sturm Graz,1,1,0,1,0.0
Lille,1,1,0,0,0.0
