name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,averageX,averageY,pointsCount,team,match
Kaoru Mitoma,Kaoru,Mitoma,kaoru-mitoma,K. Mitoma,M,22,21511,M,936849,"{'nameTranslation': {'ar': 'ميتوما، كاورو', 'bn': 'মিতোমা, কাওরু', 'hi': 'मिटोमा, काओरू'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'bn': 'কে. মিতোমা', 'hi': 'के. काओरू'}}",KaoruM,57.336842105263,82.210526315789,19,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
Tariq Lamptey,Tariq,Lamptey,tariq-lamptey,T. Lamptey,D,,4148,M,914691,"{'nameTranslation': {'ar': 'لامبتي، تاريك', 'bn': 'ল্যাম্পটে, তারিক', 'hi': 'लैम्पटे, तारिक'}, 'shortNameTranslation': {'ar': 'ت. لامبتي', 'bn': 'টি. ল্যাম্পটে', 'hi': 'टी. लैम्पटे'}}",TariqLamptey,52.38125,13.910416666667,48,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
Carlos Baleba,Carlos,Baleba,carlos-baleba,C. Baleba,M,17,29289,M,1199043,"{'nameTranslation': {'ar': 'باليبا، كارلوس', 'bn': 'বালেবা, কার্লোস', 'hi': 'बलेबा, कार्लोस'}, 'shortNameTranslation': {'ar': 'ك. باليبا', 'bn': 'সি. বালেবা', 'hi': 'सी. बलेबा'}}",carlos_baleba,42.488524590164,43.708196721311,61,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
Yankuba Minteh,Yankuba,Minteh,yankuba-minteh,Y. Minteh,M,11,7891,M,1400106,"{'nameTranslation': {'ar': 'مينتيه، يانكوبا', 'bn': 'মিন্টেহ, ইয়ানকুবা', 'hi': 'मिंतेह, यानकूबा'}, 'shortNameTranslation': {'ar': 'ي. مينتيه', 'bn': 'ওয়াই. মিন্টেহ', 'hi': 'वाई. मिंतेह'}}",minteh01,64.631707317073,76.063414634146,41,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
Matt O'Riley,Matt,O'Riley,matt-oriley,M. O'Riley,M,33,4966,M,891829,"{'nameTranslation': {'ar': 'مات أورايلي', 'bn': ""ম্যাট ও'রিলে"", 'hi': ""मैट ओ'रिली""}, 'shortNameTranslation': {'ar': 'م. أورايلي', 'bn': ""এম. ও'রিলে"", 'hi': ""एम. ओ'रिली""}}",,59.524444444444,33.355555555556,45,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
Jan Paul van Hecke,,,jan-paul-van-hecke,J. P. van Hecke,D,6,3835,M,962012,"{'nameTranslation': {'ar': 'جان بول فان هيك', 'bn': 'জান পল ভ্যান হেকে', 'hi': 'जान पॉल वैन हेक'}, 'shortNameTranslation': {'ar': 'ج. ب. فان هيك', 'bn': 'জে. পি. ভ্যান হেকে', 'hi': 'जे.पी. वैन हेक'}}",,29.878260869565,34.9,69,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
Bart Verbruggen,,,bart-verbruggen,B. Verbruggen,G,1,4860,M,994363,"{'nameTranslation': {'ar': 'بارت فيربروغين', 'bn': 'বার্ট ভারব্রুগেন', 'hi': 'बार्ट वर्ब्रुगेन'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'bn': 'বি. ভারব্রুগেন', 'hi': 'बी. वर्ब्रुगेन'}}",,9.2446808510638,50.453191489362,47,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
Adam Webster,Adam,Webster,adam-webster,A. Webster,D,4,502,M,216308,"{'nameTranslation': {'ar': 'آدم ويبستر', 'bn': 'অ্যাডাম ওয়েবস্টার', 'hi': 'एडम वेबस्टर'}, 'shortNameTranslation': {'ar': 'آ. ويبستر', 'bn': 'এ. ওয়েবস্টার', 'hi': 'ए. वेबस्टर'}}",,31.407936507937,68.730158730159,63,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
Danny Welbeck,,,danny-welbeck,D. Welbeck,F,18,6619,M,33902,"{'nameTranslation': {'ar': 'داني ويلبيك', 'bn': 'ড্যানি ওয়েলবেক', 'hi': 'डैनी वेल्बेक'}, 'shortNameTranslation': {'ar': 'د. ويلبيك', 'bn': 'ডি. ওয়েলবেক', 'hi': 'डी. वेल्बेक'}}",,53.563157894737,48.368421052632,57,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
Yasin Ayari,,,yasin-ayari,Y. Ayari,M,26,2865,M,1036269,"{'nameTranslation': {'ar': 'ياسين عياري', 'bn': 'ইয়াসিন আয়ারি', 'hi': 'यासीन अयारी'}, 'shortNameTranslation': {'ar': 'ي. عياري', 'bn': 'ওয়াই. আয়ারি', 'hi': 'वाई. अयारी'}}",,45.671666666667,50.905,60,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
Pervis Estupiñán,Pervis,Estupinan,pervis-estupinan,P. Estupiñán,M,2,16387,M,805465,"{'nameTranslation': {'ar': 'بيرفيس إستوبينيان', 'bn': 'পারভিস এস্তুপিনান', 'hi': 'परविस एस्टुपिनान'}, 'shortNameTranslation': {'ar': 'ب. إستوبينيان', 'bn': 'পি. এস্তুপিনান', 'hi': 'पी. एस्टुपिनान'}}",pervisestupinan,41.367948717949,77.164102564103,78,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
Mats Wieffer,Mats,Wieffer,mats-wieffer,M. Wieffer,D,27,2358,M,959628,"{'nameTranslation': {'ar': 'ماتس ويفر', 'bn': 'ম্যাটস উইফার', 'hi': 'मैट्स विफ़र'}, 'shortNameTranslation': {'ar': 'م. ويفر', 'bn': 'এম. উইফার', 'hi': 'एम. विफ़र'}}",,37.356382978723,21.724468085106,94,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
